"2016-11-22 18:44:41,093",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-22 18:44:49,187",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:44:57,712",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,19,13,20,12
"2016-11-22 18:45:10,270",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:45:26,880",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,8,32,12,20
"2016-11-22 18:45:42,041",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:45:58,986",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:46:16,335",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:46:33,500",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,6,32,21,11
"2016-11-22 18:46:52,670",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:47:10,536",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,20,12,21,11
"2016-11-22 18:47:28,240",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-22 18:47:47,443",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:48:06,016",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-22 18:48:25,271",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:48:45,356",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:49:05,977",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:49:26,338",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,8,26,25,7
"2016-11-22 18:49:45,974",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,23,9,23,9
"2016-11-22 18:50:04,958",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:50:24,542",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-22 18:50:43,601",4,8,60,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-22 18:51:02,553",4,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
