"2016-11-23 11:58:17,276",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-23 11:58:35,899",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 11:58:52,794",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,2,56,2,56
"2016-11-23 11:59:13,268",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 11:59:30,602",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 11:59:49,992",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:00:07,087",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-23 12:00:27,174",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,6,39,8,34
"2016-11-23 12:00:45,319",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,112,1,80
"2016-11-23 12:01:03,823",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,112
"2016-11-23 12:01:23,097",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:01:42,450",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,92,2,64
"2016-11-23 12:02:02,000",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,2,68,4,61
"2016-11-23 12:02:20,869",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:02:39,292",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,72,2,64
"2016-11-23 12:02:57,611",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:03:14,998",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,5,37,9,28
"2016-11-23 12:03:34,853",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:03:49,960",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:04:06,950",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:04:26,559",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:04:44,250",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,16,16,8,24
"2016-11-23 12:05:00,539",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:05:18,422",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:05:36,402",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:05:55,538",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,112
"2016-11-23 12:06:15,413",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:06:33,730",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,3,49,3,47
"2016-11-23 12:06:50,176",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:07:08,137",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:07:26,626",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,112,1,80
"2016-11-23 12:07:43,589",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:08:02,505",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:08:22,943",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:08:40,769",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:08:59,676",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:09:19,301",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:09:38,306",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,128
"2016-11-23 12:09:56,812",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,2,64
"2016-11-23 12:10:14,598",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:10:38,513",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:10:56,888",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,112,0,112
"2016-11-23 12:11:15,127",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,55,6,42
"2016-11-23 12:11:32,296",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:11:51,880",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:12:08,724",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:12:26,501",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:12:45,475",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:13:05,409",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,8,32,16,16
"2016-11-23 12:13:27,073",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:13:45,889",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:14:05,581",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,52,2,60
"2016-11-23 12:14:27,441",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,112
"2016-11-23 12:14:48,771",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:15:10,003",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:15:30,240",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:15:50,214",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,3,48,6,36
"2016-11-23 12:16:11,226",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:16:30,002",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:16:50,913",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:17:08,748",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,48,4,46
