"2017-02-15 10:24:14,375",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:24:20,946",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:27,298",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:33,784",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:40,011",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:46,514",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:52,950",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:24:59,366",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:25:05,751",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:25:12,105",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,31,1,32,0
"2017-02-15 10:25:18,833",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,27,5
