"2016-11-18 14:45:11,931",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,Successful,Wrong bits
"2016-11-18 14:45:14,922",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,4
"2016-11-18 14:45:18,026",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-18 14:45:21,185",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,26,6
"2016-11-18 14:45:24,561",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,27,5
"2016-11-18 14:45:27,669",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,14
"2016-11-18 14:45:31,138",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,94
"2016-11-18 14:45:34,373",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,109
"2016-11-18 14:45:37,629",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,22,10
"2016-11-18 14:45:40,760",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,33
"2016-11-18 14:45:43,996",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,30
"2016-11-18 14:45:47,159",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,13,23
"2016-11-18 14:45:51,064",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,4
"2016-11-18 14:45:54,286",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,115
"2016-11-18 14:45:57,526",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,16
"2016-11-18 14:46:00,744",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,13
"2016-11-18 14:46:03,922",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,15,19
"2016-11-18 14:46:07,250",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,26,6
"2016-11-18 14:46:10,307",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,13,23
"2016-11-18 14:46:13,557",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,122
"2016-11-18 14:46:16,910",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,30,2
"2016-11-18 14:46:20,195",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,14,18
"2016-11-18 14:46:23,621",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,125
"2016-11-18 14:46:26,628",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,9,32
"2016-11-18 14:46:30,138",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,11,29
"2016-11-18 14:46:33,547",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-18 14:46:36,827",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:46:40,151",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,115
"2016-11-18 14:46:43,265",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,18
"2016-11-18 14:46:46,351",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-18 14:46:50,006",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,22,12
"2016-11-18 14:46:53,173",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,117
"2016-11-18 14:46:56,391",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,20
"2016-11-18 14:46:59,804",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,86
"2016-11-18 14:47:02,762",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-18 14:47:06,093",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,13
"2016-11-18 14:47:09,214",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,15,17
"2016-11-18 14:47:12,918",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,10,29
"2016-11-18 14:47:15,717",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,23,9
"2016-11-18 14:47:19,230",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:47:22,004",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-18 14:47:24,876",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,9,28
"2016-11-18 14:47:28,190",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,105
"2016-11-18 14:47:31,518",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:47:35,112",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,113
"2016-11-18 14:47:38,310",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,2,64
"2016-11-18 14:47:41,452",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,33
"2016-11-18 14:47:44,471",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,4
"2016-11-18 14:47:47,531",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,25,7
"2016-11-18 14:47:52,413",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,100
"2016-11-18 14:47:56,011",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,43
"2016-11-18 14:47:59,335",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,18,14
"2016-11-18 14:48:02,308",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,108
"2016-11-18 14:48:05,561",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,131
"2016-11-18 14:48:08,802",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,14
"2016-11-18 14:48:11,816",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,24,8
"2016-11-18 14:48:15,386",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,158
"2016-11-18 14:48:19,916",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,2,47
"2016-11-18 14:48:23,667",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:48:27,143",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16
