"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:53:18,069",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,14,21
"2016-11-17 11:53:19,486",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,29,3
"2016-11-17 11:53:20,983",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,54,20,14
"2016-11-17 11:53:22,344",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,39,13,24
"2016-11-17 11:53:23,768",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,39,15,19
"2016-11-17 11:53:25,193",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,19,13
"2016-11-17 11:53:26,585",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:53:27,967",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,34,13,20
"2016-11-17 11:53:29,272",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:53:30,619",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,10,22
"2016-11-17 11:53:31,986",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,41,16,20
"2016-11-17 11:53:33,386",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,36,8,32
"2016-11-17 11:53:34,760",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,23,9
"2016-11-17 11:53:36,108",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 11:53:37,516",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,17,15
"2016-11-17 11:53:38,927",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,27,16,20
"2016-11-17 11:53:40,380",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,12,22,10
"2016-11-17 11:53:41,783",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:53:43,248",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:53:44,634",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:53:46,073",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,28,4
"2016-11-17 11:53:47,359",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,31,11,27
"2016-11-17 11:53:48,738",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,34,15,17
"2016-11-17 11:53:50,213",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,22,10
"2016-11-17 11:53:51,699",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,36,17,16
"2016-11-17 11:53:53,206",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,25,7
"2016-11-17 11:53:54,543",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,32,0
"2016-11-17 11:53:55,998",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,29,18,14
"2016-11-17 11:53:57,374",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,39,17,24
"2016-11-17 11:53:58,708",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,18,15,17
"2016-11-17 11:54:00,203",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,54,8,40
"2016-11-17 11:54:01,620",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,16,16
"2016-11-17 11:54:02,984",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,15,18
"2016-11-17 11:54:04,405",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,21,27,5
"2016-11-17 11:54:05,821",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,37,19,13
"2016-11-17 11:54:07,351",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,29,20,14
"2016-11-17 11:54:08,718",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,68,10,31
"2016-11-17 11:54:10,196",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,40,23,13
"2016-11-17 11:54:11,618",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:54:13,049",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,30,9,29
"2016-11-17 11:54:14,495",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
"2016-11-17 11:54:15,921",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,39,10,28
"2016-11-17 11:54:17,325",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:54:18,673",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,45,22,11
"2016-11-17 11:54:19,987",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,32,0
"2016-11-17 11:54:21,416",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:54:22,889",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,31,1
"2016-11-17 11:54:24,285",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,21,23,9
"2016-11-17 11:54:25,700",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,32,23,9
"2016-11-17 11:54:27,085",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:54:28,504",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:54:30,034",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,50,8,36
"2016-11-17 11:54:31,574",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,25,7
"2016-11-17 11:54:33,010",4,4,102,4,40,40,True,LinearRegression,32,32,20,19,14,19,14
"2016-11-17 11:54:34,465",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,42,12,21
"2016-11-17 11:54:35,881",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,54,17,18
"2016-11-17 11:54:37,211",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:54:38,690",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:54:40,159",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,53,10,33
"2016-11-17 11:54:41,606",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,29,3
"2016-11-17 11:54:43,105",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,39,25,7
"2016-11-17 11:54:44,514",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
