"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:34:37,410",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,21,11
"2016-11-17 12:34:38,796",4,4,102,4,40,40,True,LinearRegression,32,32,20,26,6,28,4
"2016-11-17 12:34:40,125",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,10,24,8
"2016-11-17 12:34:41,515",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,32,0
"2016-11-17 12:34:42,940",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:34:44,251",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:34:45,613",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,35,18,16
"2016-11-17 12:34:47,012",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,60,12,28
"2016-11-17 12:34:48,379",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,14,17,15
"2016-11-17 12:34:49,807",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,10,30,2
"2016-11-17 12:34:51,573",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:34:53,022",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,60,22,10
"2016-11-17 12:34:54,521",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,20,12
"2016-11-17 12:34:56,026",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,17,17,15
"2016-11-17 12:34:57,455",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 12:34:59,010",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,21,24,8
"2016-11-17 12:35:00,397",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:35:02,015",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:35:03,357",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,37,14,23
"2016-11-17 12:35:04,735",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,19,13
"2016-11-17 12:35:06,177",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,31,12,26
"2016-11-17 12:35:07,640",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,29,19,18
"2016-11-17 12:35:09,172",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,67,11,27
"2016-11-17 12:35:10,596",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:35:11,942",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,34,32,0
"2016-11-17 12:35:13,490",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:35:14,998",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,61,11,29
"2016-11-17 12:35:16,410",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,21,29,3
"2016-11-17 12:35:17,793",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,25,7
"2016-11-17 12:35:19,210",4,4,102,4,40,40,True,LinearRegression,32,32,20,19,13,30,2
"2016-11-17 12:35:20,558",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,24,23,11
"2016-11-17 12:35:21,928",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,21,29,3
"2016-11-17 12:35:23,277",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,55,8,33
"2016-11-17 12:35:24,729",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,23,25,7
"2016-11-17 12:35:26,251",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,64,9,31
"2016-11-17 12:35:27,662",4,4,102,4,40,40,True,LinearRegression,32,32,20,29,3,29,3
"2016-11-17 12:35:29,091",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:35:30,540",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,102,4,63
"2016-11-17 12:35:31,904",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,20,23,9
"2016-11-17 12:35:33,369",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,15,17
"2016-11-17 12:35:34,757",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,37,21,11
"2016-11-17 12:35:36,110",4,4,102,4,40,40,True,LinearRegression,32,32,20,25,7,25,7
"2016-11-17 12:35:37,525",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,16,16
"2016-11-17 12:35:38,943",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:35:40,410",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,34,11,29
"2016-11-17 12:35:41,904",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,14,22,10
"2016-11-17 12:35:43,342",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,33,17,15
"2016-11-17 12:35:44,739",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,53,11,27
"2016-11-17 12:35:46,221",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,20,17,17
"2016-11-17 12:35:47,656",4,4,102,4,40,40,True,LinearRegression,32,32,20,29,3,29,3
"2016-11-17 12:35:49,029",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,57,19,14
