"2016-11-15 19:19:42,752",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 19:20:17,592",4,8,90,4,40,40,32,32,200,10,31.848341
"2016-11-15 19:20:48,295",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:21:17,576",4,8,90,4,40,40,32,32,200,0,31.734597
"2016-11-15 19:21:50,154",4,8,90,4,40,40,32,32,200,16,31.886256
"2016-11-15 19:22:20,866",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:22:48,930",4,8,90,4,40,40,32,32,200,22,31.943128
"2016-11-15 19:23:16,993",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:23:48,116",4,8,90,4,40,40,32,32,200,10,31.829384
"2016-11-15 19:24:18,093",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:24:49,237",4,8,90,4,40,40,32,32,200,6,31.734597
"2016-11-15 19:25:18,366",4,8,90,4,40,40,32,32,200,20,31.924171
"2016-11-15 19:25:45,587",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:26:17,144",4,8,90,4,40,40,32,32,200,32,32.000000
"2016-11-15 19:26:49,375",4,8,90,4,40,40,32,32,200,8,31.867299
"2016-11-15 19:27:23,824",4,8,90,4,40,40,32,32,200,32,32.000000
"2016-11-15 19:27:56,863",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:28:25,640",4,8,90,4,40,40,32,32,200,5,31.781991
"2016-11-15 19:28:55,984",4,8,90,4,40,40,32,32,200,10,31.848341
"2016-11-15 19:29:25,231",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:29:52,834",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:30:25,851",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:30:53,533",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:31:26,099",4,8,90,4,40,40,32,32,200,18,31.924171
"2016-11-15 19:31:57,475",4,8,90,4,40,40,32,32,200,24,31.962085
"2016-11-15 19:32:26,577",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:32:57,797",4,8,90,4,40,40,32,32,200,10,31.895735
"2016-11-15 19:33:25,142",4,8,90,4,40,40,32,32,200,12,31.810427
"2016-11-15 19:33:56,165",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:34:26,472",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:34:56,134",4,8,90,4,40,40,32,32,200,10,31.886256
"2016-11-15 19:35:28,847",4,8,90,4,40,40,32,32,200,0,31.810427
"2016-11-15 19:35:57,881",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:36:32,296",4,8,90,4,40,40,32,32,200,16,31.924171
"2016-11-15 19:37:06,335",4,8,90,4,40,40,32,32,200,4,31.810427
"2016-11-15 19:37:37,883",4,8,90,4,40,40,32,32,200,20,31.943128
"2016-11-15 19:38:09,124",4,8,90,4,40,40,32,32,200,0,31.810427
"2016-11-15 19:38:39,550",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:39:11,752",4,8,90,4,40,40,32,32,200,12,31.848341
"2016-11-15 19:39:41,064",4,8,90,4,40,40,32,32,200,4,31.810427
"2016-11-15 19:40:09,513",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:40:39,272",4,8,90,4,40,40,32,32,200,12,31.848341
"2016-11-15 19:41:13,367",4,8,90,4,40,40,32,32,200,0,31.734597
"2016-11-15 19:41:43,451",4,8,90,4,40,40,32,32,200,10,31.829384
"2016-11-15 19:42:11,940",4,8,90,4,40,40,32,32,200,16,31.924171
"2016-11-15 19:42:40,947",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:43:09,647",4,8,90,4,40,40,32,32,200,16,31.905213
"2016-11-15 19:43:38,313",4,8,90,4,40,40,32,32,200,14,31.895735
"2016-11-15 19:44:06,963",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:44:33,441",4,8,90,4,40,40,32,32,200,10,31.810427
"2016-11-15 19:45:07,232",4,8,90,4,40,40,32,32,200,4,31.848341
"2016-11-15 19:45:37,907",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:46:09,092",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:46:39,529",4,8,90,4,40,40,32,32,200,0,31.578199
"2016-11-15 19:47:10,975",4,8,90,4,40,40,32,32,200,12,31.810427
"2016-11-15 19:47:50,655",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:48:22,262",4,8,90,4,40,40,32,32,200,8,31.772512
"2016-11-15 19:48:53,351",4,8,90,4,40,40,32,32,200,4,31.848341
"2016-11-15 19:49:39,062",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:50:10,255",4,8,90,4,40,40,32,32,200,4,31.848341
"2016-11-15 19:50:42,787",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:51:19,387",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:51:48,346",4,8,90,4,40,40,32,32,200,10,31.829384
"2016-11-15 19:52:17,593",4,8,90,4,40,40,32,32,200,12,31.810427
"2016-11-15 19:52:47,761",4,8,90,4,40,40,32,32,200,20,31.924171
"2016-11-15 19:53:17,893",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:53:46,765",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:54:17,444",4,8,90,4,40,40,32,32,200,2,31.696682
"2016-11-15 19:54:50,835",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:55:20,665",4,8,90,4,40,40,32,32,200,6,31.734597
"2016-11-15 19:55:48,965",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:56:22,502",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 19:56:50,638",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 19:57:23,415",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:57:51,142",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 19:58:22,449",4,8,90,4,40,40,32,32,200,4,31.810427
"2016-11-15 19:58:53,131",4,8,90,4,40,40,32,32,200,12,31.848341
"2016-11-15 19:59:26,626",4,8,90,4,40,40,32,32,200,4,31.772512
"2016-11-15 19:59:59,370",4,8,90,4,40,40,32,32,200,12,31.886256
"2016-11-15 20:00:25,960",4,8,90,4,40,40,32,32,200,8,31.848341
"2016-11-15 20:00:56,930",4,8,90,4,40,40,32,32,200,12,31.848341
"2016-11-15 20:01:27,299",4,8,90,4,40,40,32,32,200,16,31.905213
"2016-11-15 20:01:56,219",4,8,90,4,40,40,32,32,200,10,31.829384
"2016-11-15 20:02:26,437",4,8,90,4,40,40,32,32,200,12,31.848341
"2016-11-15 20:02:59,049",4,8,90,4,40,40,32,32,200,8,31.810427
"2016-11-15 20:03:34,076",4,8,90,4,40,40,32,32,200,20,31.924171
"2016-11-15 20:04:02,812",4,8,90,4,40,40,32,32,200,24,31.962085
"2016-11-15 20:04:35,954",4,8,90,4,40,40,32,32,200,6,31.734597
"2016-11-15 20:05:06,297",4,8,90,4,40,40,32,32,200,8,31.829384
"2016-11-15 20:05:34,522",4,8,90,4,40,40,32,32,200,12,31.886256
