"2016-11-16 01:18:21,027",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 01:19:32,306",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:20:47,554",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:21:50,848",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:22:56,864",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:24:26,243",8,8,90,4,40,40,True,32,32,200,0,131
"2016-11-16 01:25:33,529",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:26:42,898",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:28:02,931",8,8,90,4,40,40,True,32,32,200,6,39
"2016-11-16 01:29:25,912",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:30:48,610",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:32:06,567",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:33:18,782",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:34:45,600",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:36:13,271",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:37:30,606",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:38:39,641",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:39:45,352",8,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 01:40:47,912",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:42:08,021",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:43:26,280",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:44:48,928",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:46:15,467",8,8,90,4,40,40,True,32,32,200,28,6
"2016-11-16 01:47:40,768",8,8,90,4,40,40,True,32,32,200,0,52
"2016-11-16 01:48:57,423",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:50:06,548",8,8,90,4,40,40,True,32,32,200,2,61
"2016-11-16 01:51:04,058",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:52:10,952",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:53:24,745",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:54:42,890",8,8,90,4,40,40,True,32,32,200,0,58
"2016-11-16 01:55:48,443",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 01:57:06,801",8,8,90,4,40,40,True,32,32,200,2,74
"2016-11-16 01:58:13,359",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:59:40,763",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:00:47,702",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:02:06,933",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:03:10,647",8,8,90,4,40,40,True,32,32,200,20,12
"2016-11-16 02:04:08,708",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:05:20,031",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:06:23,946",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:07:51,227",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 02:09:20,207",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:10:50,003",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:11:58,007",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:13:01,291",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:14:22,262",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:15:32,428",8,8,90,4,40,40,True,32,32,200,15,17
"2016-11-16 02:16:42,175",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:17:56,422",8,8,90,4,40,40,True,32,32,200,0,66
"2016-11-16 02:19:05,413",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:20:14,203",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:21:31,316",8,8,90,4,40,40,True,32,32,200,4,43
"2016-11-16 02:22:43,247",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 02:23:45,020",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:24:56,698",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:26:11,152",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:27:39,348",8,8,90,4,40,40,True,32,32,200,19,13
"2016-11-16 02:28:54,363",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:30:11,802",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:31:19,436",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:32:36,921",8,8,90,4,40,40,True,32,32,200,19,17
"2016-11-16 02:33:48,928",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 02:34:59,193",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:36:02,216",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:37:23,880",8,8,90,4,40,40,True,32,32,200,8,33
"2016-11-16 02:38:50,589",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:40:01,731",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:41:14,112",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:42:36,002",8,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 02:43:44,907",8,8,90,4,40,40,True,32,32,200,7,36
"2016-11-16 02:44:57,521",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:46:10,309",8,8,90,4,40,40,True,32,32,200,14,22
"2016-11-16 02:47:11,954",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:48:29,721",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:49:48,515",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 02:50:57,904",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:52:17,979",8,8,90,4,40,40,True,32,32,200,15,21
"2016-11-16 02:53:43,632",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:55:06,776",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:56:18,210",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 02:57:26,016",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:58:32,048",8,8,90,4,40,40,True,32,32,200,27,5
