"2016-11-16 18:08:32,449",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 18:08:39,579",4,8,90,4,40,40,True,32,32,200,0,6744
"2016-11-16 18:08:46,471",4,8,90,4,40,40,True,32,32,200,0,6735
"2016-11-16 18:08:53,438",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:09:00,569",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:09:07,824",4,8,90,4,40,40,True,32,32,200,0,6749
"2016-11-16 18:09:15,086",4,8,90,4,40,40,True,32,32,200,0,6749
"2016-11-16 18:09:26,347",4,8,90,4,40,40,True,32,32,200,0,6747
"2016-11-16 18:09:38,335",4,8,90,4,40,40,True,32,32,200,0,6751
"2016-11-16 18:09:50,573",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:10:02,286",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:10:09,525",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:10:18,097",4,8,90,4,40,40,True,32,32,200,0,6751
"2016-11-16 18:10:26,394",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:10:34,224",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:10:43,909",4,8,90,4,40,40,True,32,32,200,0,6741
"2016-11-16 18:10:53,841",4,8,90,4,40,40,True,32,32,200,0,6748
"2016-11-16 18:11:03,475",4,8,90,4,40,40,True,32,32,200,0,6748
"2016-11-16 18:11:11,693",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:11:18,744",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:11:25,739",4,8,90,4,40,40,True,32,32,200,0,6751
"2016-11-16 18:11:33,158",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:11:40,191",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:11:48,195",4,8,90,4,40,40,True,32,32,200,0,6353
"2016-11-16 18:11:55,385",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:12:05,277",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:12:15,479",4,8,90,4,40,40,True,32,32,200,0,6749
"2016-11-16 18:12:27,895",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:12:36,249",4,8,90,4,40,40,True,32,32,200,0,6742
"2016-11-16 18:12:43,106",4,8,90,4,40,40,True,32,32,200,0,6749
"2016-11-16 18:12:50,501",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:12:57,716",4,8,90,4,40,40,True,32,32,200,0,6745
"2016-11-16 18:13:04,686",4,8,90,4,40,40,True,32,32,200,0,6745
"2016-11-16 18:13:11,934",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:13:19,733",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:13:26,998",4,8,90,4,40,40,True,32,32,200,0,5918
"2016-11-16 18:13:34,234",4,8,90,4,40,40,True,32,32,200,0,6744
"2016-11-16 18:13:41,473",4,8,90,4,40,40,True,32,32,200,0,6748
"2016-11-16 18:13:48,750",4,8,90,4,40,40,True,32,32,200,0,6728
"2016-11-16 18:13:56,047",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:14:03,337",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:14:11,941",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:14:19,374",4,8,90,4,40,40,True,32,32,200,0,6744
"2016-11-16 18:14:27,503",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:14:35,419",4,8,90,4,40,40,True,32,32,200,0,6741
"2016-11-16 18:14:43,346",4,8,90,4,40,40,True,32,32,200,0,6749
"2016-11-16 18:14:51,827",4,8,90,4,40,40,True,32,32,200,0,6750
"2016-11-16 18:14:59,144",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:15:08,035",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:15:16,447",4,8,90,4,40,40,True,32,32,200,0,6752
"2016-11-16 18:15:27,923",4,8,90,4,40,40,True,32,32,200,0,6751
