"2016-11-15 12:56:22,404",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-15 12:56:36,128",4,8,102,4,4,40,32,32,200,56.250000
"2016-11-15 12:56:48,545",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:57:01,283",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:57:14,765",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:57:28,314",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 12:57:41,139",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 12:57:54,309",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 12:58:07,779",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:58:20,711",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 12:58:34,064",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 12:58:47,777",4,8,102,4,4,40,32,32,200,46.875000
"2016-11-15 12:59:00,087",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:59:12,295",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:59:26,114",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 12:59:40,070",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 12:59:53,381",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:00:07,162",4,8,102,4,4,40,32,32,200,65.625000
"2016-11-15 13:00:19,593",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:00:32,613",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:00:45,526",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:00:58,729",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:01:11,887",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:01:24,946",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:01:38,183",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:01:51,118",4,8,102,4,4,40,32,32,200,0.000000
"2016-11-15 13:02:03,074",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:02:15,853",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:02:29,441",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:02:43,084",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:02:55,955",4,8,102,4,4,40,32,32,200,50.000000
"2016-11-15 13:03:08,903",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:03:21,362",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:03:33,575",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:03:46,928",4,8,102,4,4,40,32,32,200,81.250000
"2016-11-15 13:04:00,644",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:04:13,422",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:04:26,570",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:04:40,391",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:04:53,335",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:05:06,432",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:05:20,102",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:05:33,129",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:05:46,847",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:05:59,617",4,8,102,4,4,40,32,32,200,68.750000
"2016-11-15 13:06:11,627",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:06:25,402",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:06:38,692",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:06:50,572",4,8,102,4,4,40,32,32,200,68.750000
"2016-11-15 13:07:03,421",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:07:16,499",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:07:29,827",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:07:43,341",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:07:55,575",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:08:10,117",4,8,102,4,4,40,32,32,200,81.250000
"2016-11-15 13:08:22,960",4,8,102,4,4,40,32,32,200,62.500000
"2016-11-15 13:08:36,854",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:08:50,338",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:09:03,411",4,8,102,4,4,40,32,32,200,68.750000
"2016-11-15 13:09:16,415",4,8,102,4,4,40,32,32,200,62.500000
"2016-11-15 13:09:30,377",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:09:43,545",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:09:57,217",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:10:10,934",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:10:23,984",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:10:37,326",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:10:51,217",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:11:04,830",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:11:19,089",4,8,102,4,4,40,32,32,200,50.000000
"2016-11-15 13:11:32,587",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:11:43,989",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:11:56,182",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:12:09,594",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:12:23,505",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:12:36,853",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:12:50,274",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:13:04,633",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:13:19,272",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:13:32,900",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:13:45,619",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:13:58,442",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:14:12,442",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:14:25,316",4,8,102,4,4,40,32,32,200,81.250000
"2016-11-15 13:14:39,401",4,8,102,4,4,40,32,32,200,68.750000
"2016-11-15 13:14:52,133",4,8,102,4,4,40,32,32,200,100.000000
