"2016-11-15 14:16:34,453",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 14:16:47,739",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:17:00,756",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:17:13,556",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:17:26,694",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:17:39,419",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:17:53,560",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:18:06,038",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:18:18,629",4,8,102,4,4,40,32,32,200,8,31.810427
"2016-11-15 14:18:30,886",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:18:43,621",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:18:56,183",4,8,102,4,4,40,32,32,200,8,31.810427
"2016-11-15 14:19:10,179",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:19:23,599",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:19:37,042",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:19:49,560",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:20:03,470",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:20:16,456",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:20:29,790",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:20:43,017",4,8,102,4,4,40,32,32,200,16,31.914692
"2016-11-15 14:20:56,115",4,8,102,4,4,40,32,32,200,21,31.943128
"2016-11-15 14:21:09,561",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:21:23,251",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:21:36,869",4,8,102,4,4,40,32,32,200,8,31.810427
"2016-11-15 14:21:50,527",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:22:03,732",4,8,102,4,4,40,32,32,200,26,31.971564
"2016-11-15 14:22:17,359",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:22:30,280",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:22:43,921",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:22:57,356",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:23:10,739",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:23:24,492",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:23:37,674",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:23:49,747",4,8,102,4,4,40,32,32,200,4,31.772512
