"2016-11-15 00:03:11,587",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-15 00:03:28,715",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:03:43,656",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:03:59,839",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:04:14,306",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:04:30,224",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:04:46,255",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:05:01,258",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:05:16,251",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:05:30,531",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:05:46,339",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 00:06:02,348",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:06:17,958",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:06:32,941",4,8,102,4,40,40,32,32,200,34.375000
"2016-11-15 00:06:45,760",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:07:00,303",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:07:17,512",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:07:33,680",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:07:50,160",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:08:03,490",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:08:19,949",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:08:35,969",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:08:52,010",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:09:08,654",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:09:24,993",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:09:44,013",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:09:59,984",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:10:18,150",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:10:34,678",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:10:50,281",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:11:08,349",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:11:21,675",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:11:37,386",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:11:53,708",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:12:08,316",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:12:25,186",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:12:39,824",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:12:56,227",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:13:13,127",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:13:28,588",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:13:43,057",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:13:58,858",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:14:14,212",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:14:32,591",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:14:47,971",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:15:06,402",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:15:20,990",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:15:36,768",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 00:15:53,692",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:16:08,400",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:16:21,995",4,8,102,4,40,40,32,32,200,46.875000
"2016-11-15 00:16:37,085",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:16:51,506",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:17:06,223",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:17:20,582",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:17:34,593",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:17:49,781",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:18:05,375",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:18:20,457",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:18:38,447",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:18:53,367",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:19:09,727",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:19:27,738",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:19:45,258",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:20:01,037",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:20:15,862",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 00:20:32,645",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:20:47,603",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:21:02,662",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:21:18,504",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:21:34,288",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:21:49,843",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:22:05,890",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:22:26,412",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:22:43,104",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:22:59,223",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:23:15,641",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:23:31,485",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:23:47,815",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:24:02,411",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:24:17,183",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:24:32,775",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:24:47,848",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:25:02,158",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:25:17,586",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:25:35,323",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:25:51,595",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:26:08,451",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:26:24,173",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:26:39,273",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:26:55,762",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:27:11,042",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:27:27,582",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:27:44,327",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:27:59,540",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:28:14,449",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:28:29,157",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:28:42,430",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:28:57,533",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:29:12,825",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:29:27,793",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 00:29:43,884",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:29:58,998",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:30:15,090",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:30:32,254",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:30:46,890",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:31:02,593",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:31:16,948",4,8,102,4,40,40,32,32,200,43.750000
"2016-11-15 00:31:31,613",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:31:47,207",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:32:04,428",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:32:19,117",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:32:34,014",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:32:50,124",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:33:04,461",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:33:18,279",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:33:34,180",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:33:50,052",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:34:06,175",4,8,102,4,40,40,32,32,200,31.250000
"2016-11-15 00:34:23,770",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:34:37,891",4,8,102,4,40,40,32,32,200,59.375000
"2016-11-15 00:34:54,110",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:35:08,438",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:35:24,576",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:35:40,735",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:35:57,112",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:36:13,352",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:36:28,983",4,8,102,4,40,40,32,32,200,87.500000
"2016-11-15 00:36:44,411",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 00:36:59,012",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:37:16,194",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:37:31,874",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:37:46,986",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:38:01,272",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:38:16,174",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:38:31,723",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:38:47,309",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:39:02,273",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:39:18,572",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 00:39:32,182",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:39:48,237",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:40:00,841",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:40:15,400",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:40:31,202",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:40:46,083",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 00:41:00,778",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:41:16,859",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:41:34,875",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:41:50,445",4,8,102,4,40,40,32,32,200,28.125000
"2016-11-15 00:42:06,249",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:42:22,073",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:42:37,885",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:42:54,102",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:43:09,287",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:43:24,912",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:43:41,495",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:43:57,086",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:44:12,680",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 00:44:26,345",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:44:41,042",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:44:57,989",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 00:45:13,458",4,8,102,4,40,40,32,32,200,12.500000
"2016-11-15 00:45:27,690",4,8,102,4,40,40,32,32,200,75.000000
"2016-11-15 00:45:43,722",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 00:46:00,459",4,8,102,4,40,40,32,32,200,18.750000
"2016-11-15 00:46:16,758",4,8,102,4,40,40,32,32,200,93.750000
"2016-11-15 00:46:32,162",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 00:46:48,165",4,8,102,4,40,40,32,32,200,50.000000
