"2016-11-16 23:43:14,084",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:43:21,888",4,4,102,4,40,40,True,LinearRegression,32,32,200,7,42,16,18
"2016-11-16 23:43:30,332",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:43:39,100",4,4,102,4,40,40,True,LinearRegression,32,32,200,28,4,28,4
"2016-11-16 23:43:46,886",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-16 23:43:54,806",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:44:02,694",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:44:10,513",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:44:18,607",4,4,102,4,40,40,True,LinearRegression,32,32,200,7,39,23,10
"2016-11-16 23:44:26,667",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:44:34,938",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,20,15,17
"2016-11-16 23:44:42,690",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-16 23:44:50,541",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:44:58,332",4,4,102,4,40,40,True,LinearRegression,32,32,200,9,29,23,9
"2016-11-16 23:45:06,220",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:45:14,228",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,23,16,16
"2016-11-16 23:45:22,410",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,50,13,25
"2016-11-16 23:45:30,022",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:45:37,983",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:45:45,981",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:45:53,565",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:46:01,456",4,4,102,4,40,40,True,LinearRegression,32,32,200,6,37,14,25
"2016-11-16 23:46:09,492",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:46:17,216",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,20,30,2
"2016-11-16 23:46:24,998",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:46:33,090",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,24,24,8
"2016-11-16 23:46:40,730",4,4,102,4,40,40,True,LinearRegression,32,32,200,18,16,18,16
"2016-11-16 23:46:48,568",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:46:56,648",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,54,9,26
"2016-11-16 23:47:04,459",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,18,16,18
"2016-11-16 23:47:12,433",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:47:20,387",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:47:28,347",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,8,24
"2016-11-16 23:47:36,502",4,4,102,4,40,40,True,LinearRegression,32,32,200,29,3,30,2
"2016-11-16 23:47:44,675",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-16 23:47:52,608",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,11,21,11
"2016-11-16 23:48:00,317",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:48:08,248",4,4,102,4,40,40,True,LinearRegression,32,32,200,29,3,29,3
"2016-11-16 23:48:16,308",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,15,31,1
"2016-11-16 23:48:24,359",4,4,102,4,40,40,True,LinearRegression,32,32,200,12,48,9,34
"2016-11-16 23:48:32,377",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,8,24,8
"2016-11-16 23:48:40,582",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,29,14,19
