"2016-11-19 15:14:47,622",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 15:14:54,586",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,107,9,37
"2016-11-19 15:15:01,695",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,4,90,18,14
"2016-11-19 15:15:07,985",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,117,11,28
"2016-11-19 15:15:15,745",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,141,3,56
"2016-11-19 15:15:23,005",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,95,15,22
"2016-11-19 15:15:29,737",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,116,8,38
"2016-11-19 15:15:36,923",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,136,1,74
"2016-11-19 15:15:44,410",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,120,10,36
"2016-11-19 15:15:52,107",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,134,8,43
"2016-11-19 15:16:00,956",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,107,17,19
"2016-11-19 15:16:07,741",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,125,7,51
"2016-11-19 15:16:15,140",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,122,8,38
"2016-11-19 15:16:21,903",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,145,3,67
"2016-11-19 15:16:29,309",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,128,3,66
"2016-11-19 15:16:37,697",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,137,4,57
"2016-11-19 15:16:44,046",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,115,10,34
"2016-11-19 15:16:51,135",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,128,8,39
"2016-11-19 15:16:58,106",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,109,5,42
"2016-11-19 15:17:05,854",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,119,6,47
"2016-11-19 15:17:13,479",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,129,10,33
"2016-11-19 15:17:20,476",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,5,56
"2016-11-19 15:17:27,193",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,124,4,46
"2016-11-19 15:17:34,486",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,129,15,24
"2016-11-19 15:17:41,425",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,142,5,66
"2016-11-19 15:17:48,336",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,128,3,77
"2016-11-19 15:17:55,424",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,14,34
"2016-11-19 15:18:02,533",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,144,3,58
"2016-11-19 15:18:09,400",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,132,5,55
"2016-11-19 15:18:16,798",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,145,8,69
"2016-11-19 15:18:23,587",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,132,4,51
"2016-11-19 15:18:30,367",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,106,18,21
"2016-11-19 15:18:37,094",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,133,2,67
"2016-11-19 15:18:43,880",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,97,16,22
"2016-11-19 15:18:50,751",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,118,4,42
"2016-11-19 15:18:57,809",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,111,13,28
"2016-11-19 15:19:05,070",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,112,12,32
"2016-11-19 15:19:11,619",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,2,82,15,21
"2016-11-19 15:19:18,192",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,140,5,45
"2016-11-19 15:19:25,129",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,102,17,21
"2016-11-19 15:19:32,432",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,5,53
"2016-11-19 15:19:38,954",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,128,13,26
"2016-11-19 15:19:46,483",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,119,11,28
"2016-11-19 15:19:53,383",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,118,12,30
"2016-11-19 15:20:00,083",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,106,14,29
"2016-11-19 15:20:06,958",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,116,16,26
"2016-11-19 15:20:13,863",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,114,12,25
"2016-11-19 15:20:20,403",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,139,6,54
"2016-11-19 15:20:27,417",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,90,12,29
"2016-11-19 15:20:34,228",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,95,11,31
"2016-11-19 15:20:40,553",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,118,12,31
"2016-11-19 15:20:48,152",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,106,11,32
"2016-11-19 15:20:55,645",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,105,13,27
"2016-11-19 15:21:03,070",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,110,3,47
"2016-11-19 15:21:10,857",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,133,13,34
"2016-11-19 15:21:17,572",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,88,15,23
"2016-11-19 15:21:25,787",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,131,10,35
"2016-11-19 15:21:33,012",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,131,6,44
"2016-11-19 15:21:40,328",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,105,13,28
"2016-11-19 15:21:47,488",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,119,17,22
"2016-11-19 15:21:55,346",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,117,0,92
"2016-11-19 15:22:02,408",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,112,13,32
"2016-11-19 15:22:09,862",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,101,9,31
"2016-11-19 15:22:17,879",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,108,7,39
"2016-11-19 15:22:25,728",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,123,5,49
"2016-11-19 15:22:33,348",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,108,18,26
"2016-11-19 15:22:40,819",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,126,6,41
"2016-11-19 15:22:48,403",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,123,4,54
"2016-11-19 15:22:56,245",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,126,2,59
"2016-11-19 15:23:04,429",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,128,14,24
"2016-11-19 15:23:11,730",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,134,11,34
"2016-11-19 15:23:18,821",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,2,85,16,24
"2016-11-19 15:23:25,768",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,126,7,37
"2016-11-19 15:23:32,893",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,118,2,56
"2016-11-19 15:23:40,611",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,121,9,31
"2016-11-19 15:23:48,467",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,152,1,88
"2016-11-19 15:23:56,050",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,108,12,31
"2016-11-19 15:24:03,334",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,91,17,17
"2016-11-19 15:24:10,913",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,103,12,32
"2016-11-19 15:24:18,357",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,134,4,57
"2016-11-19 15:24:26,109",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,124,16,25
"2016-11-19 15:24:33,241",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,153,8,50
"2016-11-19 15:24:40,954",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,109,16,23
"2016-11-19 15:24:48,155",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,17,24
"2016-11-19 15:24:54,963",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,115,14,26
"2016-11-19 15:25:02,339",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,101,17,18
"2016-11-19 15:25:09,492",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,113,2,53
"2016-11-19 15:25:16,715",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,120,12,34
"2016-11-19 15:25:23,901",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,95,13,29
"2016-11-19 15:25:31,983",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,106,14,27
"2016-11-19 15:25:39,155",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,113,11,31
"2016-11-19 15:25:46,645",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,114,15,22
"2016-11-19 15:25:53,996",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,130,2,62
"2016-11-19 15:26:01,166",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,134,0,108
"2016-11-19 15:26:08,061",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,123,12,35
"2016-11-19 15:26:15,551",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,122,0,109
"2016-11-19 15:26:22,985",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,138,1,75
"2016-11-19 15:26:30,235",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,110,16,19
"2016-11-19 15:26:37,954",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,113,15,23
"2016-11-19 15:26:45,884",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,6,40
"2016-11-19 15:26:53,210",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,116,6,53
"2016-11-19 15:27:00,948",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,131,2,67
"2016-11-19 15:27:07,806",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,100,15,26
"2016-11-19 15:27:15,194",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,95,14,24
"2016-11-19 15:27:22,399",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,127,3,66
"2016-11-19 15:27:29,954",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,112,5,40
"2016-11-19 15:27:36,909",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,120,5,47
"2016-11-19 15:27:43,971",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,108,9,32
"2016-11-19 15:27:51,597",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,135,15,32
"2016-11-19 15:27:58,756",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,105,6,41
"2016-11-19 15:28:06,187",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,117,10,35
"2016-11-19 15:28:13,420",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,115,10,33
"2016-11-19 15:28:20,744",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,102,10,41
"2016-11-19 15:28:27,974",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,127,12,31
"2016-11-19 15:28:35,271",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,99,10,27
"2016-11-19 15:28:42,616",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,113,13,25
"2016-11-19 15:28:50,064",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,127,13,29
"2016-11-19 15:28:56,992",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,117,17,20
"2016-11-19 15:29:03,291",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,137,1,80
"2016-11-19 15:29:11,427",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,110,12,35
"2016-11-19 15:29:18,863",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,126,8,38
"2016-11-19 15:29:25,701",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,108,20,19
"2016-11-19 15:29:34,153",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,122,14,25
"2016-11-19 15:29:44,777",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,118,9,38
"2016-11-19 15:29:52,674",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,130,4,70
"2016-11-19 15:29:59,707",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,112,12,26
"2016-11-19 15:30:07,454",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,1,95,17,19
"2016-11-19 15:30:14,623",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,121,3,50
"2016-11-19 15:30:21,734",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,139,5,50
"2016-11-19 15:30:28,547",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,111,14,27
"2016-11-19 15:30:35,463",4,4,30,4,4,40,True,LinearRegression,32,32,200,0,0,113,11,29
