"2016-11-25 14:32:25,504",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-25 14:34:56,080",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:37:35,686",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:40:13,173",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:42:53,694",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:45:28,878",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:48:13,323",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:51:05,041",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:53:43,719",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:56:19,758",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 14:59:04,987",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:01:52,335",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:04:30,744",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:07:02,715",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:09:36,500",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:12:13,236",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:14:44,655",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 15:17:18,144",8,16,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
