"2016-11-25 23:33:47,336",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-25 23:36:21,260",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:38:53,960",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:41:28,410",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:44:03,083",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:46:33,686",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:49:07,315",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:51:37,019",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:54:10,217",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:56:40,435",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-25 23:59:09,431",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:01:43,253",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:04:14,084",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:06:47,124",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:09:18,218",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:11:50,746",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:14:24,415",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:16:54,439",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:19:27,306",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:21:57,215",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:24:30,484",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:26:57,996",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:29:32,686",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-26 00:32:03,138",16,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
