"2016-11-14 13:13:57,712",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-14 13:14:06,978",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:14:15,756",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:14:24,803",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:14:33,662",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:14:42,816",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:14:51,996",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:15:01,189",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:15:10,314",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:15:19,429",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 13:15:28,611",8,8,90,4,20,20,32,32,200,0.000000
