"2016-11-23 23:18:05,137",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-23 23:19:12,391",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:20:15,619",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:21:29,844",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:22:31,648",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:23:29,871",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:24:43,954",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:25:35,626",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:26:28,578",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:27:32,454",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:28:35,507",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:29:43,226",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:30:49,448",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:31:49,524",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:33:01,168",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:34:03,907",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:35:08,777",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:36:07,025",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:37:18,083",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:38:22,631",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:39:29,024",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:40:35,869",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:41:41,350",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:42:46,505",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:43:58,480",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:45:03,462",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:45:56,315",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:47:06,748",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:47:59,960",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:48:52,911",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:49:55,629",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:50:59,435",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:52:06,612",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:53:19,765",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:54:09,084",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:55:00,750",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:55:56,681",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:56:51,714",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:57:47,771",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:58:48,499",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 23:59:56,676",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:01:04,822",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:02:05,862",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:03:16,635",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:04:12,778",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:05:14,878",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:06:24,783",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:07:26,614",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:08:38,156",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:09:43,088",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:10:56,494",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:11:52,744",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:12:50,500",8,8,60,4,40,40,True,LinearRegression,32,32,200,0,25,7,31,1
"2016-11-24 00:14:04,637",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:14:57,913",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:15:48,898",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:16:40,617",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:17:34,256",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:18:41,487",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:19:47,599",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:20:46,815",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:21:47,625",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:22:49,884",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:23:56,107",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:24:58,508",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:26:04,667",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:27:04,069",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:28:07,339",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:29:10,463",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:30:17,454",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:31:19,591",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:32:28,018",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:33:27,444",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:34:31,576",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:35:41,978",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:36:37,269",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:37:30,427",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:38:30,384",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:39:28,109",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:40:26,283",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-24 00:41:26,185",8,8,60,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
