"2016-11-28 21:28:50,384",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-28 21:31:20,641",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:33:51,648",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:36:27,825",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:39:01,211",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:41:49,253",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:44:48,886",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:47:48,656",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:50:48,904",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:53:19,783",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:55:40,428",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 21:58:04,745",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:00:27,548",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:02:48,606",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:05:11,733",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:07:32,022",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:09:53,199",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:12:15,448",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:14:41,769",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:17:04,059",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:19:29,779",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:21:54,376",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:24:17,719",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:26:40,090",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:29:06,095",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:31:32,434",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:33:57,822",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:36:22,984",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:38:48,299",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:41:13,929",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:43:34,903",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:46:01,718",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:48:26,504",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:50:47,774",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:53:10,372",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:55:36,462",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 22:57:59,946",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:00:22,618",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:02:49,398",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:05:13,010",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:07:35,531",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:09:57,441",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:12:20,268",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:14:42,276",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:17:04,636",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:19:29,115",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:21:52,398",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:24:14,163",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:26:36,484",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:28:58,874",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:31:26,004",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:33:50,462",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:36:13,334",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:38:34,217",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:40:57,530",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:43:18,696",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:45:42,279",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:48:06,398",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:50:31,495",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:52:54,741",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:55:18,221",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-28 23:57:38,629",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-29 00:00:00,754",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-29 00:02:23,749",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-29 00:04:47,286",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-29 00:07:07,532",16,8,22,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
