"2017-05-17 20:23:26,845",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-17 20:56:36,191","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1304.68,500,100,50,0,0,1438,0,1456,0,1495
"2017-05-17 21:28:24,421","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1205.53,500,100,50,0,0,1410,0,1455,0,1519
"2017-05-17 22:01:00,190","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1266.00,500,100,50,0,0,1426,0,1469,0,1436
"2017-05-17 22:33:29,178","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1241.12,500,100,50,0,0,1447,0,1433,0,1443
"2017-05-17 23:07:37,138","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1369.20,500,100,50,0,0,1427,0,1504,0,1546
"2017-05-17 23:41:25,091","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1307.93,500,100,50,0,0,1429,0,1447,0,1480
"2017-05-18 00:19:08,942","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1506.09,500,100,50,0,0,1401,0,1466,0,1490
"2017-05-18 00:53:07,413","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1300.56,500,100,50,0,0,1461,0,1482,0,1478
"2017-05-18 01:32:26,407","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1586.03,500,100,50,0,0,1426,0,1483,0,1460
"2017-05-18 02:06:58,823","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1325.26,500,100,50,0,0,1426,0,1468,0,1414
"2017-05-18 02:40:46,090","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1254.59,500,100,50,0,0,1461,0,1460,0,1423
"2017-05-18 03:16:33,961","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1352.49,500,100,50,0,0,1416,0,1482,0,1461
"2017-05-18 03:52:19,659","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1360.62,500,100,50,0,0,1426,0,1473,0,1519
"2017-05-18 04:28:53,057","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1409.01,500,100,50,0,0,1437,0,1485,0,1467
"2017-05-18 05:06:59,759","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1503.51,500,100,50,0,0,1420,0,1495,0,1493
"2017-05-18 05:45:25,714","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1523.51,500,100,50,0,0,1447,0,1489,0,1465
"2017-05-18 06:17:35,475","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1209.41,500,100,50,0,0,1510,0,1431,0,1453
"2017-05-18 06:49:25,645","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1215.22,500,100,50,0,0,1447,0,1467,0,1472
"2017-05-18 07:20:58,959","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1199.60,500,100,50,0,0,1386,0,1477,0,1507
"2017-05-18 07:53:12,296","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1253.40,500,100,50,0,0,1423,0,1479,0,1454
"2017-05-18 08:26:06,767","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1290.92,500,100,50,0,0,1400,0,1452,0,1489
"2017-05-18 09:01:57,791","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1403.80,500,100,50,0,0,1395,0,1451,0,1462
"2017-05-18 09:38:45,126","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1468.71,500,100,50,0,0,1404,0,1480,0,1487
"2017-05-18 10:16:45,158","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1560.44,500,100,50,0,0,1431,0,1511,0,1479
"2017-05-18 10:52:05,625","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1419.19,500,100,50,0,0,1429,0,1485,0,1492
"2017-05-20 16:18:51,641","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1335.19,500,100,50,0,0,1432,0,1482,0,1481
"2017-05-20 16:53:10,909","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1271.77,500,100,50,0,0,1407,0,1458,0,1461
"2017-05-20 17:27:17,789","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1270.01,500,100,50,0,0,1428,0,1490,0,1482
