"2017-05-18 12:01:38,341",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-18 12:03:12,635","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,58.53,32,32,200,0,4,58,16,22,21,16,28,5,25,8
"2017-05-18 12:04:41,851","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,54.48,32,32,200,1,6,50,15,25,20,19,24,10,32,0
"2017-05-18 12:06:20,692","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,64.00,32,32,200,0,5,61,11,30,16,18,20,14,24,8
"2017-05-18 12:07:49,955","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.58,32,32,200,0,4,53,23,14,23,12,26,7,29,3
"2017-05-18 12:09:19,051","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.87,32,32,200,0,8,47,14,25,20,15,23,11,26,7
"2017-05-18 12:10:49,137","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,55.90,32,32,200,0,9,42,20,17,25,9,26,7,30,4
"2017-05-18 12:12:16,732","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.08,32,32,200,0,3,67,17,22,18,17,20,16,26,8
"2017-05-18 12:13:37,506","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,44.85,32,32,200,0,5,63,13,34,16,27,20,19,26,6
"2017-05-18 12:14:57,496","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,43.75,32,32,200,0,5,58,10,30,19,18,25,10,22,13
"2017-05-18 12:16:21,944","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.10,32,32,200,0,7,55,15,25,14,23,20,14,24,9
"2017-05-18 12:17:51,052","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.07,32,32,200,0,7,56,15,26,17,19,27,7,24,9
"2017-05-18 12:19:17,913","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.24,32,32,200,0,5,54,15,22,18,18,25,9,28,5
"2017-05-18 12:20:40,709","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.45,32,32,200,0,5,66,16,27,19,18,24,9,23,10
"2017-05-18 12:22:01,623","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.51,32,32,200,0,5,56,17,26,22,13,26,8,22,11
"2017-05-18 12:23:24,516","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.96,32,32,200,0,5,52,14,19,20,13,23,10,28,4
"2017-05-18 12:24:53,010","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.11,32,32,200,0,3,52,16,24,20,14,23,9,23,9
"2017-05-18 12:26:17,587","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.79,32,32,200,0,5,60,11,35,18,18,21,13,26,7
"2017-05-18 12:27:44,002","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,50.75,32,32,200,0,7,55,14,29,20,18,23,11,27,7
"2017-05-18 12:29:04,773","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.16,32,32,200,0,2,61,11,29,23,12,26,6,30,2
"2017-05-18 12:30:33,054","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.21,32,32,200,0,4,67,12,33,21,17,25,8,30,2
"2017-05-18 12:31:55,015","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.89,32,32,200,0,5,40,22,11,26,7,27,5,31,1
"2017-05-18 12:33:19,394","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.84,32,32,200,0,3,54,15,22,19,14,28,4,31,1
"2017-05-18 12:34:42,306","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.17,32,32,200,0,7,59,17,21,23,13,26,7,22,10
"2017-05-18 12:36:07,711","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.91,32,32,200,0,2,62,16,21,26,9,24,8,26,6
"2017-05-18 12:37:28,378","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.19,32,32,200,0,7,55,12,34,18,19,22,12,25,7
"2017-05-18 12:02:47,975","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.67,32,32,200,0,2,61,12,24,21,12,26,6,26,6
"2017-05-18 12:03:54,453","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,38.05,32,32,200,0,6,58,16,23,19,16,23,10,23,9
"2017-05-18 12:05:00,462","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.47,32,32,200,1,6,48,14,21,22,10,26,7,32,0
"2017-05-18 12:06:06,352","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,36.88,32,32,200,0,6,53,13,25,17,15,21,13,23,9
"2017-05-18 12:07:12,044","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.41,32,32,200,0,7,42,15,28,22,10,27,5,26,9
"2017-05-18 12:08:18,659","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,38.04,32,32,200,0,4,60,18,16,22,11,26,6,29,3
"2017-05-18 12:09:24,227","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.24,32,32,200,0,5,53,16,25,23,11,23,10,26,7
"2017-05-18 12:10:29,355","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,36.95,32,32,200,0,7,49,15,24,20,16,27,6,26,6
"2017-05-18 12:11:35,146","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.30,32,32,200,0,6,55,14,26,19,16,22,10,29,3
"2017-05-18 12:12:40,476","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,36.84,32,32,200,0,8,44,19,19,24,11,30,3,29,3
"2017-05-18 12:13:47,070","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.77,32,32,200,0,5,47,17,21,22,14,26,9,28,6
"2017-05-18 12:14:52,667","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.17,32,32,200,0,6,56,17,19,24,10,27,7,29,5
"2017-05-18 12:15:58,428","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.16,32,32,200,0,1,77,4,44,13,31,18,21,27,7
"2017-05-18 12:17:04,760","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.11,32,32,200,0,5,43,13,26,21,14,24,8,27,5
"2017-05-18 12:18:10,618","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.58,32,32,200,0,4,52,14,30,26,7,28,4,26,6
"2017-05-18 12:19:16,871","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.36,32,32,200,0,3,62,15,24,17,23,21,16,24,12
"2017-05-18 12:20:22,205","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.06,32,32,200,0,4,64,19,24,22,14,24,10,24,10
"2017-05-18 12:21:28,323","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.36,32,32,200,0,5,46,19,16,23,11,26,7,28,5
"2017-05-18 12:22:34,353","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.69,32,32,200,0,6,49,16,20,20,14,26,6,27,5
"2017-05-18 12:23:39,987","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.26,32,32,200,0,5,60,13,25,18,17,26,7,25,7
"2017-05-18 12:24:45,974","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.48,32,32,200,0,4,55,19,18,25,9,26,6,28,4
"2017-05-18 12:25:51,550","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,36.83,32,32,200,0,1,56,14,25,22,10,25,8,23,9
"2017-05-18 12:26:56,826","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,36.89,32,32,200,0,2,57,13,29,16,23,22,11,26,6
"2017-05-18 12:28:02,416","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.21,32,32,200,0,7,45,18,19,24,12,27,5,29,3
"2017-05-18 12:29:07,920","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,37.04,32,32,200,0,5,47,18,17,28,4,27,6,28,4
"2017-05-18 12:03:10,724","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,57.60,32,32,200,0,5,55,16,18,24,9,26,6,28,4
"2017-05-18 12:04:40,542","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,55.27,32,32,200,0,4,52,12,29,21,13,25,8,28,4
"2017-05-18 12:06:20,087","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,65.19,32,32,200,0,7,48,21,14,22,12,25,7,22,11
"2017-05-18 12:07:48,806","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,54.00,32,32,200,0,7,47,14,26,23,12,25,8,27,5
"2017-05-18 12:09:18,224","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,54.29,32,32,200,0,7,54,13,31,14,28,22,12,25,8
"2017-05-18 12:10:48,554","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,55.83,32,32,200,0,5,56,14,21,23,10,24,9,26,7
"2017-05-18 12:12:17,363","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.71,32,32,200,0,5,43,18,15,20,14,25,7,30,2
"2017-05-18 12:13:45,195","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.40,32,32,200,0,6,46,15,23,18,19,21,13,24,9
"2017-05-18 12:15:08,673","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.04,32,32,200,0,3,56,17,21,22,12,27,6,27,6
"2017-05-18 12:16:33,565","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.75,32,32,200,0,3,59,13,28,21,14,23,13,27,7
"2017-05-18 12:17:56,157","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.69,32,32,200,0,6,57,14,30,20,19,24,13,24,9
"2017-05-18 12:19:23,265","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.18,32,32,200,0,6,47,20,16,21,11,28,4,29,3
"2017-05-18 12:20:49,635","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.79,32,32,200,0,3,60,14,21,19,14,28,5,28,5
"2017-05-18 12:22:11,059","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.54,32,32,200,0,2,56,16,26,24,9,26,7,29,4
"2017-05-18 12:23:31,427","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,44.46,32,32,200,0,5,60,17,23,25,10,22,14,25,8
"2017-05-18 12:24:54,527","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.61,32,32,200,0,7,46,21,17,22,13,24,9,26,6
"2017-05-18 12:26:19,236","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.91,32,32,200,0,7,44,18,19,21,15,22,10,30,2
"2017-05-18 12:27:42,914","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.03,32,32,200,0,4,47,13,27,21,15,24,9,26,7
"2017-05-18 12:29:07,613","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.33,32,32,200,0,8,48,18,17,23,13,23,9,26,6
"2017-05-18 12:30:36,102","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,54.13,32,32,200,0,6,60,16,23,20,18,25,10,27,7
"2017-05-18 12:32:03,409","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,51.80,32,32,200,0,4,56,13,29,19,20,20,16,23,10
"2017-05-18 12:33:27,212","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.93,32,32,200,0,3,54,20,15,25,7,28,4,30,2
"2017-05-18 12:34:48,500","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.36,32,32,200,0,8,56,19,20,22,13,22,10,26,6
"2017-05-18 12:36:10,620","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.22,32,32,200,0,5,52,19,20,22,12,23,11,25,8
"2017-05-18 12:37:33,893","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.49,32,32,200,0,11,43,20,18,23,12,26,7,29,3
"2017-05-18 12:03:09,931","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,56.12,32,32,200,0,4,55,16,24,23,12,27,5,30,2
"2017-05-18 12:04:33,126","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.62,32,32,200,0,5,56,18,17,18,15,24,9,25,8
"2017-05-18 12:05:56,295","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.26,32,32,200,0,7,47,11,23,21,14,21,12,26,6
"2017-05-18 12:07:25,525","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,53.97,32,32,200,0,7,45,19,17,25,10,25,10,24,12
"2017-05-18 12:08:49,418","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.95,32,32,200,0,4,60,14,30,19,16,22,13,27,5
"2017-05-18 12:10:13,006","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.58,32,32,200,0,12,38,22,14,28,8,29,4,30,3
"2017-05-18 12:11:36,176","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.00,32,32,200,0,10,38,21,15,25,8,28,4,27,5
"2017-05-18 12:13:03,557","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,51.01,32,32,200,0,6,39,19,16,23,11,26,7,27,5
"2017-05-18 12:14:29,093","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.96,32,32,200,0,7,51,16,20,23,9,26,6,24,8
"2017-05-18 12:15:50,172","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.18,32,32,200,0,6,51,14,22,21,14,26,8,29,3
"2017-05-18 12:17:10,047","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.76,32,32,200,0,2,61,15,24,21,16,27,8,29,5
"2017-05-18 12:18:31,243","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.96,32,32,200,0,8,43,21,13,27,6,31,2,29,3
"2017-05-18 12:19:53,794","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,46.89,32,32,200,0,7,42,20,13,25,8,27,5,28,4
"2017-05-18 12:21:14,635","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,44.49,32,32,200,0,7,48,14,26,17,18,24,10,25,8
"2017-05-18 12:22:35,677","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.09,32,32,200,0,6,40,11,23,25,7,25,9,28,4
"2017-05-18 12:23:56,375","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.42,32,32,200,0,5,42,14,19,18,15,21,12,25,8
"2017-05-18 12:25:17,972","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,45.88,32,32,200,0,6,49,15,24,17,17,19,16,24,9
"2017-05-18 12:26:43,767","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,50.24,32,32,200,0,3,67,16,22,23,11,27,6,28,5
"2017-05-18 12:28:05,930","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,47.29,32,32,200,0,6,46,19,18,21,15,25,9,28,6
"2017-05-18 12:29:30,073","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.38,32,32,200,0,3,53,21,11,20,13,25,8,21,11
"2017-05-18 12:30:54,224","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,49.34,32,32,200,0,6,61,14,30,19,16,21,12,25,7
"2017-05-18 12:32:17,309","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,48.20,32,32,200,0,5,56,19,20,24,10,25,8,25,8
"2017-05-18 12:33:44,904","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.22,32,32,200,0,7,46,14,21,24,10,27,5,28,5
"2017-05-18 12:35:11,905","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,50.86,32,32,200,0,7,57,14,32,20,20,18,24,25,13
"2017-05-18 12:36:38,932","30,30,30,30,30","30,30,30,30,30","146,62,62,62,62",4,0,0,True,LinearRegression,52.62,32,32,200,0,3,55,15,27,17,18,21,12,20,13
