"2017-05-16 21:40:48,587",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 21:41:57,336","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.59,32,32,200,0,1,64,9,34,18,17,22,11
"2017-05-16 21:43:05,809","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.25,32,32,200,0,1,59,17,16,23,9,25,8
"2017-05-16 21:44:13,654","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.71,32,32,200,0,4,58,15,25,17,18,27,7
"2017-05-16 21:45:22,576","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.59,32,32,200,0,7,48,21,14,28,5,29,3
"2017-05-16 21:46:31,037","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.23,32,32,200,0,5,38,21,12,27,5,30,2
"2017-05-16 21:47:39,078","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.96,32,32,200,0,7,48,20,15,26,6,27,5
"2017-05-16 21:48:46,828","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.50,32,32,200,0,3,60,13,26,17,19,21,13
"2017-05-16 21:49:55,323","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.87,32,32,200,0,5,53,20,16,23,11,25,8
"2017-05-16 21:51:02,852","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.48,32,32,200,0,5,61,14,21,23,11,28,4
"2017-05-16 21:52:10,784","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.88,32,32,200,0,5,53,18,19,24,9,26,6
"2017-05-16 21:53:18,112","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.50,32,32,200,0,9,44,19,21,21,15,24,12
"2017-05-16 21:54:25,652","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.71,32,32,200,0,2,70,16,21,24,8,30,2
"2017-05-16 21:55:34,647","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.96,32,32,200,0,3,58,11,29,22,13,26,6
"2017-05-16 21:56:42,847","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.09,32,32,200,0,3,54,12,31,18,20,22,12
"2017-05-16 21:57:50,508","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.34,32,32,200,0,6,55,19,21,24,10,29,4
"2017-05-16 21:58:58,789","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.50,32,32,200,0,3,66,13,30,22,12,29,3
"2017-05-16 22:00:07,322","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.58,32,32,200,0,6,50,15,21,20,14,27,6
"2017-05-16 22:01:16,208","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.35,32,32,200,0,3,52,18,17,20,14,27,6
"2017-05-16 22:02:23,885","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.57,32,32,200,0,2,62,16,22,26,8,31,1
"2017-05-16 22:03:31,281","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.59,32,32,200,0,2,51,21,15,23,11,26,8
"2017-05-16 22:04:38,972","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.72,32,32,200,0,6,44,18,16,25,7,28,4
"2017-05-16 22:05:46,670","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.88,32,32,200,0,9,46,18,17,24,8,27,5
"2017-05-16 22:06:54,672","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.06,32,32,200,0,4,61,20,17,24,10,28,5
"2017-05-16 22:08:02,790","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.15,32,32,200,0,4,60,13,31,20,19,26,6
"2017-05-16 22:09:09,862","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.27,32,32,200,0,1,59,12,25,22,14,24,9
"2017-05-16 21:42:12,957","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.84,32,32,200,0,3,53,16,18,23,10,28,4
"2017-05-16 21:43:37,178","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.29,32,32,200,0,5,70,14,23,25,8,29,3
"2017-05-16 21:45:01,482","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,54.09,32,32,200,0,7,55,18,20,24,9,28,4
"2017-05-16 21:46:28,266","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,55.80,32,32,200,0,7,50,15,18,22,11,23,9
"2017-05-16 21:47:53,329","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.15,32,32,200,0,2,57,14,25,18,17,22,11
"2017-05-16 21:49:12,337","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,47.72,32,32,200,0,4,63,17,24,22,10,29,3
"2017-05-16 21:50:30,694","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.88,32,32,200,0,4,62,13,26,25,8,27,6
