"2017-05-17 14:37:46,896",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-17 14:39:26,962","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,62.53,32,32,200,0,8,46,11,33,9,34,6,37,14,31
"2017-05-17 14:41:26,250","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,80.60,32,32,200,0,2,53,7,37,11,28,13,28,11,31
"2017-05-17 14:43:05,955","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,62.47,32,32,200,0,5,54,5,41,10,35,8,41,8,40
"2017-05-17 14:45:07,083","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,81.68,32,32,200,0,2,66,9,50,8,42,6,43,4,42
"2017-05-17 14:46:47,550","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,63.37,32,32,200,0,4,59,6,41,4,49,6,41,8,43
"2017-05-17 14:48:49,691","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,83.24,32,32,200,0,8,41,12,27,15,25,13,26,15,23
"2017-05-17 14:50:25,506","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,58.11,32,32,200,0,6,52,6,43,7,42,4,43,5,48
"2017-05-17 14:52:03,869","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,61.02,32,32,200,0,4,55,7,43,8,40,8,39,4,41
"2017-05-17 14:54:01,172","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,78.80,32,32,200,0,3,53,6,41,13,26,13,26,12,26
"2017-05-17 14:55:41,947","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,62.42,32,32,200,0,3,58,3,52,5,47,3,51,2,49
"2017-05-17 14:57:46,016","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,84.16,32,32,200,0,2,60,5,48,8,42,7,45,9,39
"2017-05-17 14:59:27,102","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,62.64,32,32,200,0,2,61,6,41,9,35,12,28,6,39
"2017-05-17 15:01:22,923","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,76.09,32,32,200,0,4,58,5,49,8,38,8,42,9,38
"2017-05-17 15:03:08,083","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,66.92,32,32,200,0,3,55,6,46,7,44,7,46,6,46
"2017-05-17 15:05:02,172","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,74.95,32,32,200,0,7,50,9,39,10,36,8,42,6,44
"2017-05-17 15:06:51,897","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,70.31,32,32,200,0,2,62,3,48,2,50,5,44,4,43
"2017-05-17 15:08:42,833","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,72.25,32,32,200,0,5,42,5,41,7,38,9,35,8,39
