"2017-05-02 19:06:25,093",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 19:07:06,891","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.19,32,32,200,0,6,60,2,81,0,99
"2017-05-02 19:07:47,752","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.55,32,32,200,0,12,38,15,31,8,48
"2017-05-02 19:08:26,187","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.58,32,32,200,0,13,40,3,64,0,85
"2017-05-02 19:09:04,964","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.78,32,32,200,0,5,47,5,57,10,49
"2017-05-02 19:09:45,687","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.91,32,32,200,0,5,44,4,52,4,69
"2017-05-02 19:10:27,814","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.76,32,32,200,0,4,62,1,87,1,125
"2017-05-02 19:11:07,419","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.64,32,32,200,0,5,51,7,59,5,74
"2017-05-02 19:11:45,590","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.20,32,32,200,0,6,50,2,84,2,94
"2017-05-02 19:12:24,163","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.30,32,32,200,0,4,47,4,61,7,55
"2017-05-02 19:13:01,845","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.10,32,32,200,0,8,52,3,82,0,100
"2017-05-02 19:13:39,916","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.10,32,32,200,0,6,55,2,89,0,109
"2017-05-02 19:14:18,598","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.88,32,32,200,0,5,52,7,50,2,73
"2017-05-02 19:14:57,625","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.10,32,32,200,0,4,55,11,38,9,40
"2017-05-02 19:15:36,496","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.81,32,32,200,0,9,41,13,36,1,76
"2017-05-02 19:16:15,305","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.65,32,32,200,0,6,58,3,68,3,71
"2017-05-02 19:16:56,740","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.03,32,32,200,0,7,40,1,79,0,98
"2017-05-02 19:17:36,559","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.74,32,32,200,0,5,62,2,83,0,103
"2017-05-02 19:18:15,826","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.52,32,32,200,0,12,37,7,57,6,58
