"2017-05-17 16:37:32,927",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-17 16:38:35,355","32","40","90",4,0,0,True,LinearRegression,50.96,32,32,200,1,32,0
"2017-05-17 16:39:25,655","32","40","90",4,0,0,True,LinearRegression,39.01,32,32,200,1,32,0
"2017-05-17 16:40:23,615","32","40","90",4,0,0,True,LinearRegression,46.47,32,32,200,1,32,0
"2017-05-17 16:41:17,484","32","40","90",4,0,0,True,LinearRegression,42.80,32,32,200,1,32,0
"2017-05-17 16:42:25,020","32","40","90",4,0,0,True,LinearRegression,56.44,32,32,200,1,32,0
"2017-05-17 16:43:34,103","32","40","90",4,0,0,True,LinearRegression,57.12,32,32,200,1,32,0
"2017-05-17 16:44:38,080","32","40","90",4,0,0,True,LinearRegression,52.73,32,32,200,1,32,0
"2017-05-17 16:45:33,544","32","40","90",4,0,0,True,LinearRegression,43.90,32,32,200,1,32,0
"2017-05-17 16:46:25,017","32","40","90",4,0,0,True,LinearRegression,40.41,32,32,200,0,31,2
"2017-05-17 16:47:17,833","32","40","90",4,0,0,True,LinearRegression,41.79,32,32,200,1,32,0
"2017-05-17 16:48:20,559","32","40","90",4,0,0,True,LinearRegression,51.50,32,32,200,1,32,0
"2017-05-17 16:49:27,597","32","40","90",4,0,0,True,LinearRegression,54.79,32,32,200,1,32,0
"2017-05-17 16:50:22,093","32","40","90",4,0,0,True,LinearRegression,43.35,32,32,200,1,32,0
"2017-05-17 16:51:10,922","32","40","90",4,0,0,True,LinearRegression,37.81,32,32,200,1,32,0
"2017-05-17 16:52:08,365","32","40","90",4,0,0,True,LinearRegression,46.01,32,32,200,1,32,0
"2017-05-17 16:52:59,572","32","40","90",4,0,0,True,LinearRegression,39.87,32,32,200,1,32,0
"2017-05-17 16:53:52,566","32","40","90",4,0,0,True,LinearRegression,42.09,32,32,200,1,32,0
"2017-05-17 16:54:48,626","32","40","90",4,0,0,True,LinearRegression,45.11,32,32,200,1,32,0
"2017-05-17 16:55:46,331","32","40","90",4,0,0,True,LinearRegression,47.30,32,32,200,1,32,0
"2017-05-17 16:56:43,437","32","40","90",4,0,0,True,LinearRegression,46.15,32,32,200,1,32,0
"2017-05-17 16:57:40,989","32","40","90",4,0,0,True,LinearRegression,46.35,32,32,200,1,32,0
"2017-05-17 16:58:47,381","32","40","90",4,0,0,True,LinearRegression,54.93,32,32,200,1,32,0
"2017-05-17 16:59:40,770","32","40","90",4,0,0,True,LinearRegression,42.24,32,32,200,1,32,0
"2017-05-17 17:00:33,257","32","40","90",4,0,0,True,LinearRegression,41.36,32,32,200,1,32,0
"2017-05-17 17:01:26,325","32","40","90",4,0,0,True,LinearRegression,42.02,32,32,200,1,32,0
"2017-05-17 16:52:29,711","32","40","90",4,0,0,True,LinearRegression,73.18,32,32,200,1,32,0
"2017-05-17 16:54:06,035","32","40","90",4,0,0,True,LinearRegression,82.79,32,32,200,1,32,0
"2017-05-17 16:55:16,045","32","40","90",4,0,0,True,LinearRegression,56.74,32,32,200,1,32,0
"2017-05-17 16:56:56,020","32","40","90",4,0,0,True,LinearRegression,86.49,32,32,200,1,32,0
"2017-05-17 16:58:29,375","32","40","90",4,0,0,True,LinearRegression,80.44,32,32,200,1,32,0
"2017-05-17 16:59:34,363","32","40","90",4,0,0,True,LinearRegression,51.80,32,32,200,1,32,0
"2017-05-17 17:00:41,353","32","40","90",4,0,0,True,LinearRegression,53.96,32,32,200,1,32,0
"2017-05-17 17:02:20,772","32","40","90",4,0,0,True,LinearRegression,86.45,32,32,200,0,31,1
"2017-05-17 17:03:49,099","32","40","90",4,0,0,True,LinearRegression,75.52,32,32,200,1,32,0
"2017-05-17 17:05:01,200","32","40","90",4,0,0,True,LinearRegression,58.46,32,32,200,1,32,0
"2017-05-17 17:06:43,809","32","40","90",4,0,0,True,LinearRegression,89.81,32,32,200,1,32,0
"2017-05-17 17:08:16,042","32","40","90",4,0,0,True,LinearRegression,78.95,32,32,200,0,31,1
"2017-05-17 17:09:21,687","32","40","90",4,0,0,True,LinearRegression,52.75,32,32,200,1,32,0
"2017-05-17 17:11:10,921","32","40","90",4,0,0,True,LinearRegression,96.09,32,32,200,1,32,0
"2017-05-17 17:12:38,885","32","40","90",4,0,0,True,LinearRegression,74.81,32,32,200,1,32,0
"2017-05-17 17:13:54,037","32","40","90",4,0,0,True,LinearRegression,62.13,32,32,200,1,32,0
"2017-05-17 17:15:34,164","32","40","90",4,0,0,True,LinearRegression,86.80,32,32,200,0,29,4
"2017-05-17 17:16:54,326","32","40","90",4,0,0,True,LinearRegression,66.85,32,32,200,1,32,0
"2017-05-17 17:18:25,666","32","40","90",4,0,0,True,LinearRegression,77.94,32,32,200,1,32,0
"2017-05-17 17:20:02,188","32","40","90",4,0,0,True,LinearRegression,82.24,32,32,200,1,32,0
"2017-05-17 17:21:09,085","32","40","90",4,0,0,True,LinearRegression,53.22,32,32,200,1,32,0
"2017-05-17 17:22:17,840","32","40","90",4,0,0,True,LinearRegression,56.50,32,32,200,1,32,0
"2017-05-17 17:23:49,659","32","40","90",4,0,0,True,LinearRegression,78.80,32,32,200,1,32,0
"2017-05-17 17:25:21,588","32","40","90",4,0,0,True,LinearRegression,78.07,32,32,200,1,32,0
"2017-05-17 17:26:39,583","32","40","90",4,0,0,True,LinearRegression,64.34,32,32,200,1,32,0
"2017-05-17 16:39:01,945","32","40","90",4,0,0,True,LinearRegression,54.62,32,32,200,1,32,0
"2017-05-17 16:40:04,044","32","40","90",4,0,0,True,LinearRegression,50.19,32,32,200,1,32,0
"2017-05-17 16:41:10,914","32","40","90",4,0,0,True,LinearRegression,54.93,32,32,200,1,32,0
"2017-05-17 16:42:09,246","32","40","90",4,0,0,True,LinearRegression,46.97,32,32,200,1,32,0
"2017-05-17 16:42:59,135","32","40","90",4,0,0,True,LinearRegression,39.10,32,32,200,0,29,5
"2017-05-17 16:43:51,395","32","40","90",4,0,0,True,LinearRegression,41.20,32,32,200,1,32,0
"2017-05-17 16:44:42,616","32","40","90",4,0,0,True,LinearRegression,40.14,32,32,200,1,32,0
"2017-05-17 16:45:47,004","32","40","90",4,0,0,True,LinearRegression,52.88,32,32,200,0,30,2
"2017-05-17 16:46:54,661","32","40","90",4,0,0,True,LinearRegression,55.72,32,32,200,1,32,0
"2017-05-17 16:47:52,888","32","40","90",4,0,0,True,LinearRegression,46.73,32,32,200,1,32,0
"2017-05-17 16:48:45,019","32","40","90",4,0,0,True,LinearRegression,40.93,32,32,200,1,32,0
"2017-05-17 16:49:37,976","32","40","90",4,0,0,True,LinearRegression,42.01,32,32,200,1,32,0
"2017-05-17 16:50:35,455","32","40","90",4,0,0,True,LinearRegression,46.41,32,32,200,1,32,0
"2017-05-17 16:51:26,948","32","40","90",4,0,0,True,LinearRegression,39.49,32,32,200,1,32,0
"2017-05-17 16:52:32,408","32","40","90",4,0,0,True,LinearRegression,53.60,32,32,200,1,32,0
"2017-05-17 16:53:36,994","32","40","90",4,0,0,True,LinearRegression,52.68,32,32,200,1,32,0
"2017-05-17 16:54:43,121","32","40","90",4,0,0,True,LinearRegression,54.98,32,32,200,1,32,0
"2017-05-17 16:55:47,497","32","40","90",4,0,0,True,LinearRegression,53.69,32,32,200,1,32,0
"2017-05-17 16:56:51,040","32","40","90",4,0,0,True,LinearRegression,52.30,32,32,200,1,32,0
"2017-05-17 16:57:54,883","32","40","90",4,0,0,True,LinearRegression,52.13,32,32,200,1,32,0
"2017-05-17 16:58:49,796","32","40","90",4,0,0,True,LinearRegression,43.90,32,32,200,0,30,3
"2017-05-17 16:59:55,801","32","40","90",4,0,0,True,LinearRegression,54.74,32,32,200,1,32,0
"2017-05-17 17:00:52,886","32","40","90",4,0,0,True,LinearRegression,46.15,32,32,200,0,29,3
"2017-05-17 17:01:43,568","32","40","90",4,0,0,True,LinearRegression,38.73,32,32,200,1,32,0
"2017-05-17 17:02:49,022","32","40","90",4,0,0,True,LinearRegression,54.29,32,32,200,1,32,0
"2017-05-17 16:37:38,188","32","40","90",4,0,0,True,LinearRegression,38.93,32,32,200,1,32,0
"2017-05-17 16:38:43,292","32","40","90",4,0,0,True,LinearRegression,54.31,32,32,200,1,32,0
"2017-05-17 16:39:37,468","32","40","90",4,0,0,True,LinearRegression,42.39,32,32,200,1,32,0
"2017-05-17 16:40:40,419","32","40","90",4,0,0,True,LinearRegression,51.43,32,32,200,1,32,0
"2017-05-17 16:41:32,991","32","40","90",4,0,0,True,LinearRegression,41.39,32,32,200,1,32,0
"2017-05-17 16:42:29,176","32","40","90",4,0,0,True,LinearRegression,45.31,32,32,200,0,31,1
"2017-05-17 16:43:29,444","32","40","90",4,0,0,True,LinearRegression,49.85,32,32,200,1,32,0
"2017-05-17 16:44:24,935","32","40","90",4,0,0,True,LinearRegression,44.71,32,32,200,1,32,0
"2017-05-17 16:45:17,490","32","40","90",4,0,0,True,LinearRegression,41.48,32,32,200,1,32,0
"2017-05-17 16:46:08,684","32","40","90",4,0,0,True,LinearRegression,39.98,32,32,200,1,32,0
"2017-05-17 16:47:04,473","32","40","90",4,0,0,True,LinearRegression,44.75,32,32,200,1,32,0
"2017-05-17 16:48:05,831","32","40","90",4,0,0,True,LinearRegression,50.24,32,32,200,1,32,0
"2017-05-17 16:49:00,944","32","40","90",4,0,0,True,LinearRegression,43.18,32,32,200,1,32,0
"2017-05-17 16:49:53,368","32","40","90",4,0,0,True,LinearRegression,40.91,32,32,200,1,32,0
"2017-05-17 16:50:53,674","32","40","90",4,0,0,True,LinearRegression,48.47,32,32,200,1,32,0
"2017-05-17 16:51:54,185","32","40","90",4,0,0,True,LinearRegression,48.86,32,32,200,0,31,1
"2017-05-17 16:52:45,450","32","40","90",4,0,0,True,LinearRegression,39.99,32,32,200,1,32,0
"2017-05-17 16:53:41,460","32","40","90",4,0,0,True,LinearRegression,43.79,32,32,200,1,32,0
"2017-05-17 16:54:37,602","32","40","90",4,0,0,True,LinearRegression,45.48,32,32,200,1,32,0
"2017-05-17 16:55:32,959","32","40","90",4,0,0,True,LinearRegression,44.18,32,32,200,1,32,0
"2017-05-17 16:56:27,612","32","40","90",4,0,0,True,LinearRegression,43.57,32,32,200,1,32,0
"2017-05-17 16:57:20,171","32","40","90",4,0,0,True,LinearRegression,41.22,32,32,200,1,32,0
"2017-05-17 16:58:15,335","32","40","90",4,0,0,True,LinearRegression,43.88,32,32,200,1,32,0
"2017-05-17 16:59:05,629","32","40","90",4,0,0,True,LinearRegression,39.25,32,32,200,1,32,0
"2017-05-17 17:00:02,250","32","40","90",4,0,0,True,LinearRegression,45.87,32,32,200,1,32,0
