Rule,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5
1fullycorrectseq-54-mean,$5.61\pm2.55$,$13.06\pm4.00$,$18.64\pm3.75$,$22.43\pm3.42$,$24.32\pm2.68$
1fullycorrectseq-62-mean,$3.54\pm1.66$,$12.43\pm3.10$,$18.70\pm3.23$,$22.91\pm3.03$,$25.39\pm2.68$
1fullycorrectseq-102-mean,$4.01\pm1.96$,$7.12\pm2.90$,$9.23\pm3.26$,$10.15\pm3.34$,$10.39\pm3.06$
1fullycorrectseq-110-mean,$3.97\pm2.18$,$8.36\pm2.87$,$10.40\pm3.31$,$11.87\pm3.55$,$12.88\pm3.59$
1fullycorrectseq-146-146-146-146-146-mean,$5.49\pm2.08$,$10.63\pm3.49$,$13.50\pm3.85$,$15.73\pm3.81$,$17.04\pm4.13$
1fullycorrectseq-165-165-165-165-165-mean,$3.91\pm2.03$,$6.67\pm2.71$,$8.22\pm2.81$,$9.00\pm2.95$,$8.85\pm3.01$
1fullycorrectseq-195-195-195-195-195-mean,$3.70\pm1.73$,$7.47\pm2.27$,$9.50\pm2.66$,$10.36\pm3.06$,$10.71\pm3.22$
1fullycorrectseq-54-62-62-62-62-mean,$5.56\pm2.41$,$14.95\pm3.26$,$19.74\pm3.58$,$23.24\pm3.17$,$25.30\pm2.44$
1fullycorrectseq-102-62-62-62-62-mean,$3.93\pm2.10$,$15.44\pm3.26$,$20.79\pm3.19$,$23.80\pm3.03$,$26.02\pm2.53$
1fullycorrectseq-110-62-62-62-62-mean,$4.05\pm1.79$,$15.93\pm3.00$,$20.95\pm3.26$,$23.89\pm2.86$,$25.93\pm2.81$
1fullycorrectseq-146-62-62-62-62-mean,$5.34\pm2.00$,$15.81\pm3.13$,$21.11\pm3.03$,$24.51\pm2.63$,$26.52\pm2.51$
1fullycorrectseq-165-62-62-62-62-mean,$4.17\pm2.00$,$15.43\pm3.38$,$20.64\pm2.94$,$23.90\pm2.83$,$25.73\pm2.49$
1fullycorrectseq-195-62-62-62-62-mean,$3.88\pm2.26$,$15.80\pm3.44$,$21.55\pm3.23$,$24.53\pm2.95$,$26.48\pm2.44$
