Rule,Layer 1,Layer 2,Layer 3,Layer 4
1fullycorrectseq-2-mean,$0.00\pm0.00$,$0.00\pm0.00$,$0.08\pm0.31$,$0.16\pm0.50$
1fullycorrectseq-16-mean,$0.00\pm0.00$,$0.00\pm0.00$,$0.03\pm0.17$,$0.13\pm0.36$
1fullycorrectseq-22-mean,$4.02\pm1.92$,$6.64\pm2.33$,$8.18\pm2.48$,$8.87\pm3.08$
1fullycorrectseq-30-mean,$3.83\pm2.07$,$8.84\pm3.06$,$12.03\pm3.03$,$14.51\pm2.70$
1fullycorrectseq-36-mean,$0.05\pm0.22$,$6.77\pm2.53$,$28.27\pm2.86$,$30.91\pm0.97$
1fullycorrectseq-41-mean,$3.38\pm1.79$,$10.34\pm2.77$,$16.16\pm2.78$,$20.59\pm2.50$
1fullycorrectseq-45-mean,$4.08\pm2.06$,$15.02\pm3.72$,$21.66\pm3.01$,$25.76\pm2.63$
1fullycorrectseq-54-mean,$5.50\pm2.17$,$19.32\pm3.21$,$26.69\pm2.20$,$29.64\pm1.62$
1fullycorrectseq-60-mean,$4.36\pm2.15$,$16.33\pm3.07$,$22.89\pm2.58$,$26.84\pm2.24$
1fullycorrectseq-62-mean,$3.58\pm1.86$,$17.71\pm2.51$,$25.76\pm2.28$,$29.50\pm1.49$
1fullycorrectseq-90-mean,$4.05\pm2.03$,$15.93\pm3.47$,$22.35\pm3.01$,$25.81\pm2.65$
1fullycorrectseq-102-mean,$3.70\pm1.96$,$16.24\pm2.81$,$22.89\pm2.60$,$26.72\pm2.04$
1fullycorrectseq-106-mean,$4.88\pm2.18$,$12.11\pm2.86$,$17.66\pm3.11$,$22.18\pm2.74$
1fullycorrectseq-110-mean,$3.70\pm1.95$,$15.48\pm2.92$,$22.18\pm2.55$,$26.30\pm2.13$
1fullycorrectseq-126-mean,$4.07\pm2.10$,$6.01\pm2.74$,$7.16\pm2.95$,$7.32\pm2.67$
1fullycorrectseq-146-mean,$5.18\pm2.37$,$17.59\pm3.53$,$24.70\pm2.40$,$28.20\pm1.88$
1fullycorrectseq-150-mean,$4.33\pm2.28$,$1.31\pm1.10$,$0.87\pm0.97$,$0.59\pm0.83$
1fullycorrectseq-182-mean,$4.51\pm2.14$,$13.02\pm3.57$,$19.14\pm3.52$,$22.22\pm3.64$
1fullycorrectseq-153-153-153-153-mean,$4.28\pm2.08$,$15.66\pm3.34$,$22.15\pm3.10$,$26.36\pm2.45$
1fullycorrectseq-165-165-165-165-mean,$3.53\pm1.81$,$15.57\pm2.80$,$21.87\pm2.71$,$26.08\pm2.45$
1fullycorrectseq-195-195-195-195-mean,$3.86\pm1.86$,$16.27\pm3.00$,$22.76\pm2.73$,$26.65\pm2.07$
