Rule,Layer 1,Layer 2,Layer 3
1misclassif-2-mean,$31.08\pm1.91$,$19.70\pm1.10$,$72.92\pm2.61$
1misclassif-16-mean,$32.17\pm2.27$,$18.60\pm1.29$,$69.35\pm8.18$
1misclassif-22-mean,$25.49\pm1.24$,$30.15\pm1.12$,$58.47\pm2.53$
1misclassif-30-mean,$27.77\pm1.06$,$33.18\pm1.34$,$65.96\pm2.49$
1misclassif-36-mean,$26.30\pm1.21$,$35.25\pm1.29$,$65.92\pm2.22$
1misclassif-41-mean,$31.86\pm1.19$,$37.27\pm1.27$,$67.74\pm2.22$
1misclassif-45-mean,$31.70\pm1.27$,$38.26\pm1.19$,$68.76\pm2.06$
1misclassif-54-54-54-mean,$32.52\pm1.15$,$38.55\pm1.35$,$64.03\pm2.74$
1misclassif-60-mean,$46.98\pm1.05$,$51.78\pm1.14$,$72.91\pm1.87$
1misclassif-62-mean,$31.62\pm1.07$,$34.89\pm1.19$,$61.23\pm3.53$
1misclassif-90-90-90-mean,$46.29\pm1.11$,$49.88\pm1.07$,$72.72\pm1.89$
1misclassif-102-mean,$46.40\pm1.24$,$51.04\pm1.08$,$73.42\pm1.83$
1misclassif-106-mean,$43.52\pm1.32$,$49.44\pm1.16$,$74.19\pm2.07$
1misclassif-110-mean,$31.92\pm1.32$,$37.49\pm1.17$,$68.21\pm1.93$
1misclassif-126-mean,$27.86\pm1.15$,$33.98\pm1.00$,$64.31\pm3.02$
1misclassif-146-mean,$35.17\pm1.18$,$39.38\pm1.44$,$64.85\pm2.58$
1misclassif-150-mean,$19.33\pm1.07$,$27.63\pm0.85$,$56.98\pm3.52$
1misclassif-182-mean,$27.27\pm1.31$,$32.31\pm1.24$,$59.39\pm2.67$
1misclassif-153-153-153-mean,$46.77\pm1.44$,$51.65\pm1.31$,$72.97\pm2.01$
1misclassif-165-165-165-mean,$46.35\pm1.20$,$50.15\pm1.03$,$72.45\pm2.15$
1misclassif-195-195-195-mean,$46.46\pm1.27$,$50.79\pm1.20$,$72.87\pm1.82$
