"2017-05-05 02:33:08,977",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 02:40:12,581","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.46,96,1480,594,1480,556,1480,554,370,96
"2017-05-05 02:47:18,923","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,43.40,89,1480,592,1480,566,1480,528,370,89
"2017-05-05 02:54:23,450","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.78,95,1480,592,1480,564,1480,524,370,95
"2017-05-05 03:01:30,650","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,43.06,93,1480,622,1480,574,1480,523,370,93
"2017-05-05 03:08:37,027","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,43.02,89,1480,607,1480,572,1480,525,370,89
"2017-05-05 03:15:40,219","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.76,98,1480,594,1480,530,1480,519,370,98
"2017-05-05 03:22:44,509","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.45,86,1480,588,1480,533,1480,559,370,86
"2017-05-05 03:29:49,276","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,40.39,83,1480,618,1480,535,1480,513,370,83
"2017-05-05 03:36:55,819","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,42.95,88,1480,613,1480,543,1480,532,370,88
"2017-05-05 03:44:00,578","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,42.20,101,1480,616,1480,550,1480,529,370,101
"2017-05-05 03:51:08,973","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,44.02,97,1480,619,1480,586,1480,523,370,97
"2017-05-05 03:58:17,480","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.84,97,1480,627,1480,558,1480,524,370,97
"2017-05-05 04:05:23,019","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,42.28,111,1480,588,1480,539,1480,576,370,111
