"2017-05-04 13:32:15,207",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 13:37:16,675","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.40,83,1480,582,1480,538,370,83
"2017-05-04 13:42:16,424","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.67,93,1480,636,1480,539,370,93
"2017-05-04 13:47:18,534","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.43,89,1480,593,1480,530,370,89
"2017-05-04 13:52:11,604","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.40,99,1480,618,1480,547,370,99
"2017-05-04 13:57:15,967","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.07,99,1480,601,1480,581,370,99
"2017-05-04 14:02:23,182","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.19,89,1480,598,1480,582,370,89
"2017-05-04 14:07:20,495","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.46,88,1480,595,1480,533,370,88
"2017-05-04 14:12:23,525","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.02,90,1480,584,1480,526,370,90
"2017-05-04 14:17:23,866","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.88,75,1480,615,1480,537,370,75
"2017-05-04 14:22:28,786","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,35.46,87,1480,629,1480,553,370,87
"2017-05-04 14:27:29,024","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.91,98,1480,603,1480,564,370,98
"2017-05-04 14:32:32,545","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.60,88,1480,639,1480,559,370,88
"2017-05-04 14:37:36,979","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.16,98,1480,628,1480,549,370,98
"2017-05-04 14:42:40,187","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.19,94,1480,612,1480,531,370,94
"2017-05-04 14:47:44,113","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.18,86,1480,604,1480,560,370,86
"2017-05-04 14:52:48,232","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.69,90,1480,601,1480,541,370,90
"2017-05-04 14:57:52,975","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,35.04,84,1480,588,1480,547,370,84
"2017-05-04 15:02:52,500","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.75,84,1480,603,1480,565,370,84
"2017-05-04 15:07:49,736","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.15,93,1480,606,1480,541,370,93
"2017-05-04 15:12:46,100","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.65,95,1480,617,1480,557,370,95
"2017-05-04 15:17:42,903","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,27.72,95,1480,602,1480,537,370,95
"2017-05-04 15:22:46,889","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.21,88,1480,624,1480,567,370,88
"2017-05-04 15:27:48,605","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.80,99,1480,614,1480,543,370,99
"2017-05-04 15:32:50,603","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.01,95,1480,596,1480,534,370,95
"2017-05-04 15:37:43,147","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,27.11,104,1480,619,1480,567,370,104
"2017-05-04 13:36:32,152","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.63,84,1480,583,1480,553,370,84
"2017-05-04 13:41:28,886","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.45,102,1480,606,1480,548,370,102
"2017-05-04 13:46:26,062","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.69,89,1480,565,1480,564,370,89
"2017-05-04 13:51:29,018","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.35,93,1480,570,1480,526,370,93
"2017-05-04 13:56:30,049","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.82,87,1480,606,1480,531,370,87
"2017-05-04 14:01:27,561","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.19,90,1480,597,1480,550,370,90
"2017-05-04 14:06:28,918","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.89,87,1480,596,1480,559,370,87
