"2017-05-04 07:30:18,868",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 07:34:00,507","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.30,99,1480,603,370,99
"2017-05-04 07:37:35,975","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.22,90,1480,600,370,90
"2017-05-04 07:41:08,856","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.67,112,1480,620,370,112
"2017-05-04 07:44:51,989","20,20","50,50",60,12,12,12,True,LinearRegression,4,17.51,97,1480,616,370,97
"2017-05-04 07:48:25,922","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.45,108,1480,586,370,108
"2017-05-04 07:51:58,993","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.56,95,1480,608,370,95
"2017-05-04 07:55:33,846","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.57,98,1480,587,370,98
"2017-05-04 07:59:15,022","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.08,97,1480,594,370,97
"2017-05-04 08:02:51,116","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.21,92,1480,590,370,92
"2017-05-04 08:06:25,833","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.37,100,1480,598,370,100
"2017-05-04 08:10:01,806","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.09,105,1480,591,370,105
"2017-05-04 08:13:39,208","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.31,102,1480,597,370,102
"2017-05-04 08:17:13,600","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.37,92,1480,599,370,92
"2017-05-04 08:20:50,119","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.69,89,1480,607,370,89
"2017-05-04 08:24:27,324","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.53,98,1480,579,370,98
"2017-05-04 08:28:03,127","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.12,102,1480,575,370,102
"2017-05-04 08:31:35,356","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.88,95,1480,611,370,95
"2017-05-04 08:35:10,823","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.20,101,1480,592,370,101
"2017-05-04 08:38:51,268","20,20","50,50",60,12,12,12,True,LinearRegression,4,17.68,105,1480,613,370,105
"2017-05-04 08:42:33,464","20,20","50,50",60,12,12,12,True,LinearRegression,4,21.25,106,1480,606,370,106
"2017-05-04 08:46:16,045","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.47,94,1480,581,370,94
"2017-05-04 08:49:51,604","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.02,101,1480,604,370,101
"2017-05-04 08:53:32,930","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.76,103,1480,573,370,103
"2017-05-04 08:57:07,923","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.36,102,1480,608,370,102
"2017-05-04 09:00:43,486","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.54,103,1480,583,370,103
"2017-05-04 09:49:07,302","20,20","50,50",60,12,12,12,True,LinearRegression,4,43.42,100,1480,595,370,100
"2017-05-04 09:53:42,278","20,20","50,50",60,12,12,12,True,LinearRegression,4,34.32,102,1480,578,370,102
"2017-05-04 09:58:23,827","20,20","50,50",60,12,12,12,True,LinearRegression,4,33.48,103,1480,583,370,103
"2017-05-04 10:02:59,675","20,20","50,50",60,12,12,12,True,LinearRegression,4,36.07,93,1480,586,370,93
"2017-05-04 10:07:37,671","20,20","50,50",60,12,12,12,True,LinearRegression,4,31.85,97,1480,615,370,97
"2017-05-04 10:12:06,256","20,20","50,50",60,12,12,12,True,LinearRegression,4,25.22,100,1480,577,370,100
"2017-05-04 10:16:39,287","20,20","50,50",60,12,12,12,True,LinearRegression,4,28.18,103,1480,594,370,103
"2017-05-04 10:21:16,070","20,20","50,50",60,12,12,12,True,LinearRegression,4,26.74,114,1480,603,370,114
"2017-05-04 10:25:49,086","20,20","50,50",60,12,12,12,True,LinearRegression,4,32.30,103,1480,598,370,103
"2017-05-04 10:30:34,879","20,20","50,50",60,12,12,12,True,LinearRegression,4,41.53,97,1480,594,370,97
"2017-05-04 10:35:15,929","20,20","50,50",60,12,12,12,True,LinearRegression,4,39.50,96,1480,593,370,96
"2017-05-04 10:39:54,411","20,20","50,50",60,12,12,12,True,LinearRegression,4,32.84,99,1480,598,370,99
"2017-05-04 10:44:18,638","20,20","50,50",60,12,12,12,True,LinearRegression,4,23.57,94,1480,618,370,94
"2017-05-04 10:48:54,585","20,20","50,50",60,12,12,12,True,LinearRegression,4,34.87,104,1480,592,370,104
"2017-05-04 10:53:33,446","20,20","50,50",60,12,12,12,True,LinearRegression,4,34.02,98,1480,593,370,98
"2017-05-04 10:58:09,348","20,20","50,50",60,12,12,12,True,LinearRegression,4,34.96,104,1480,594,370,104
"2017-05-04 11:02:37,368","20,20","50,50",60,12,12,12,True,LinearRegression,4,28.54,100,1480,583,370,100
"2017-05-04 11:07:17,388","20,20","50,50",60,12,12,12,True,LinearRegression,4,32.79,90,1480,580,370,90
"2017-05-04 11:11:48,176","20,20","50,50",60,12,12,12,True,LinearRegression,4,27.46,101,1480,582,370,101
"2017-05-04 11:16:17,194","20,20","50,50",60,12,12,12,True,LinearRegression,4,25.63,95,1480,592,370,95
"2017-05-04 11:20:57,472","20,20","50,50",60,12,12,12,True,LinearRegression,4,31.93,92,1480,577,370,92
"2017-05-04 11:25:39,068","20,20","50,50",60,12,12,12,True,LinearRegression,4,37.58,100,1480,604,370,100
"2017-05-04 11:30:17,211","20,20","50,50",60,12,12,12,True,LinearRegression,4,36.46,109,1480,611,370,109
"2017-05-04 11:34:52,359","20,20","50,50",60,12,12,12,True,LinearRegression,4,36.82,95,1480,594,370,95
"2017-05-04 11:39:29,901","20,20","50,50",60,12,12,12,True,LinearRegression,4,33.78,100,1480,590,370,100
"2017-05-04 07:35:45,627","20,20","50,50",60,12,12,12,True,LinearRegression,4,17.72,91,1480,596,370,91
"2017-05-04 07:39:21,693","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.78,92,1480,596,370,92
"2017-05-04 07:43:00,002","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.76,108,1480,608,370,108
"2017-05-04 07:46:35,691","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.90,98,1480,612,370,98
"2017-05-04 07:50:09,217","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.70,95,1480,598,370,95
"2017-05-04 07:53:43,250","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.80,96,1480,570,370,96
"2017-05-04 07:57:21,116","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.98,103,1480,615,370,103
"2017-05-04 08:00:57,823","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.86,93,1480,603,370,93
"2017-05-04 08:04:32,756","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.30,103,1480,607,370,103
"2017-05-04 08:08:10,166","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.70,107,1480,581,370,107
"2017-05-04 08:11:47,967","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.94,95,1480,593,370,95
"2017-05-04 08:15:22,234","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.50,100,1480,596,370,100
"2017-05-04 08:19:01,289","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.09,106,1480,599,370,106
"2017-05-04 08:22:39,860","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.55,105,1480,611,370,105
"2017-05-04 08:26:18,500","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.52,100,1480,586,370,100
"2017-05-04 08:29:57,523","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.16,96,1480,595,370,96
"2017-05-04 08:33:30,491","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.43,101,1480,594,370,101
"2017-05-04 08:37:04,307","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.87,98,1480,600,370,98
"2017-05-04 08:40:42,052","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.05,113,1480,602,370,113
"2017-05-04 08:44:22,135","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.73,93,1480,610,370,93
"2017-05-04 08:47:59,563","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.29,99,1480,610,370,99
"2017-05-04 08:51:31,744","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.79,90,1480,596,370,90
"2017-05-04 08:55:01,012","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.92,102,1480,598,370,102
"2017-05-04 08:58:35,596","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.97,99,1480,594,370,99
"2017-05-04 09:02:11,756","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.25,103,1480,584,370,103
"2017-05-04 07:34:25,843","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.05,97,1480,572,370,97
"2017-05-04 07:37:54,879","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.08,85,1480,601,370,85
"2017-05-04 07:41:27,944","20,20","50,50",60,12,12,12,True,LinearRegression,4,13.36,98,1480,578,370,98
"2017-05-04 07:45:02,524","20,20","50,50",60,12,12,12,True,LinearRegression,4,17.08,98,1480,582,370,98
"2017-05-04 07:48:34,808","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.49,102,1480,596,370,102
"2017-05-04 07:52:09,034","20,20","50,50",60,12,12,12,True,LinearRegression,4,16.83,109,1480,597,370,109
"2017-05-04 07:55:50,898","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.65,103,1480,607,370,103
"2017-05-04 07:59:31,724","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.48,102,1480,615,370,102
"2017-05-04 08:03:06,049","20,20","50,50",60,12,12,12,True,LinearRegression,4,15.46,104,1480,606,370,104
"2017-05-04 08:06:37,683","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.76,106,1480,593,370,106
"2017-05-04 08:10:08,636","20,20","50,50",60,12,12,12,True,LinearRegression,4,14.64,97,1480,571,370,97
"2017-05-04 08:13:43,597","20,20","50,50",60,12,12,12,True,LinearRegression,4,19.63,110,1480,605,370,110
"2017-05-04 08:17:22,803","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.39,103,1480,596,370,103
"2017-05-04 08:20:58,178","20,20","50,50",60,12,12,12,True,LinearRegression,4,18.39,106,1480,593,370,106
"2017-05-04 08:24:33,709","20,20","50,50",60,12,12,12,True,LinearRegression,4,21.25,97,1480,614,370,97
"2017-05-04 08:28:11,136","20,20","50,50",60,12,12,12,True,LinearRegression,4,20.89,104,1480,583,370,104
