"2017-05-23 18:00:05,035",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-23 18:03:51,499","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,21.50,91,1480,637,1480,610,370,91
"2017-05-23 18:07:36,643","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,21.77,103,1480,643,1480,608,370,103
"2017-05-23 18:11:20,969","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,22.20,99,1480,673,1480,626,370,99
"2017-05-23 18:15:08,265","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,22.47,90,1480,697,1480,607,370,90
"2017-05-23 18:18:55,756","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.54,122,1480,625,1480,596,370,122
"2017-05-23 18:22:42,998","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.42,93,1480,663,1480,579,370,93
"2017-05-23 18:26:35,629","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.44,110,1480,653,1480,612,370,110
"2017-05-23 18:30:31,464","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,23.50,93,1480,656,1480,594,370,93
"2017-05-23 18:34:40,020","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,30.65,96,1480,662,1480,635,370,96
"2017-05-23 18:38:38,594","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,22.28,104,1480,665,1480,605,370,104
"2017-05-23 18:42:40,612","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,25.67,108,1480,662,1480,587,370,108
"2017-05-23 18:46:57,204","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,30.97,88,1480,655,1480,602,370,88
"2017-05-23 18:51:06,344","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.31,84,1480,644,1480,593,370,84
"2017-05-23 18:55:25,336","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,42.12,113,1480,669,1480,599,370,113
"2017-05-23 18:59:26,437","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.22,105,1480,623,1480,592,370,105
"2017-05-23 19:03:25,049","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.02,103,1480,638,1480,602,370,103
"2017-05-23 19:07:20,652","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,25.72,92,1480,628,1480,615,370,92
"2017-05-23 19:11:28,513","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.93,113,1480,629,1480,598,370,113
"2017-05-23 19:15:27,123","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,25.82,103,1480,645,1480,584,370,103
