"2017-05-02 10:34:58,229",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 10:38:27,907","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.79,500,100,50,0,0,1001,0,1003,0,1000
"2017-05-02 10:41:55,531","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.01,500,100,50,0,0,1003,0,1002,0,1001
"2017-05-02 10:45:22,612","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.96,500,100,50,0,0,1001,0,1005,0,1002
"2017-05-02 10:48:52,021","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.17,500,100,50,0,0,1001,0,1002,0,1001
"2017-05-02 10:52:20,969","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.95,500,100,50,0,0,1000,0,1003,0,1001
"2017-05-02 10:55:47,591","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.12,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-02 10:59:14,928","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.09,500,100,50,0,0,1002,0,1001,0,1002
"2017-05-02 11:02:41,188","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.17,500,100,50,0,0,1002,0,1000,0,1000
"2017-05-02 11:06:10,215","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.71,500,100,50,0,0,1001,0,1006,0,1002
"2017-05-02 11:09:31,925","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.23,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-02 11:12:58,410","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.25,500,100,50,0,0,1000,0,1003,0,1001
"2017-05-02 11:16:23,393","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.57,500,100,50,0,0,1001,0,1004,0,1004
"2017-05-02 11:19:48,761","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.95,500,100,50,0,0,1001,0,1003,0,1001
"2017-05-02 11:23:12,117","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.89,500,100,50,0,0,1001,0,1001,0,1003
"2017-05-02 11:26:39,957","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.28,500,100,50,0,0,1005,0,1000,0,1003
"2017-05-02 11:30:00,798","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.52,500,100,50,0,0,1002,0,1002,0,1003
"2017-05-02 11:33:28,745","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.22,500,100,50,0,0,1004,0,1002,0,1002
"2017-05-02 11:36:53,364","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.85,500,100,50,0,0,1000,0,1003,0,1002
"2017-05-02 11:40:19,380","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.19,500,100,50,0,0,1000,0,1002,0,1006
"2017-05-02 11:43:43,752","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.19,500,100,50,0,0,1003,0,1003,0,1000
"2017-05-02 11:47:09,896","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.77,500,100,50,0,0,1004,0,1002,0,1001
"2017-05-02 11:50:36,838","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.11,500,100,50,0,0,1002,0,1001,0,1005
"2017-05-02 11:54:04,125","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.85,500,100,50,0,0,1002,0,1003,0,1002
"2017-05-02 11:57:30,133","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.17,500,100,50,0,0,1000,0,1000,0,1003
"2017-05-02 12:00:58,239","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.12,500,100,50,0,0,1002,0,1003,0,1001
