"2017-05-02 18:12:35,195",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 18:41:51,591","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1074.60,500,100,50,0,0,1384,0,1477,0,1395
"2017-05-02 19:12:14,946","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1137.95,500,100,50,0,0,1383,0,1418,0,1457
"2017-05-02 19:41:06,115","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1099.89,500,100,50,0,0,1378,0,1440,0,1472
"2017-05-02 20:07:44,787","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1056.44,500,100,50,0,0,1382,0,1454,0,1416
"2017-05-02 20:34:12,520","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1048.65,500,100,50,0,0,1366,0,1471,0,1406
"2017-05-02 21:02:48,445","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1107.33,500,100,50,0,0,1335,0,1455,0,1408
"2017-05-02 21:33:58,480","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1181.92,500,100,50,0,0,1382,0,1430,0,1424
"2017-05-02 22:04:30,998","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1148.62,500,100,50,0,0,1331,0,1434,0,1386
"2017-05-02 22:34:16,552","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1106.53,500,100,50,0,0,1397,0,1406,0,1462
"2017-05-02 23:04:17,508","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1125.47,500,100,50,0,0,1382,0,1449,0,1410
"2017-05-02 23:33:36,451","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1136.38,500,100,50,0,0,1398,0,1397,0,1468
"2017-05-02 23:59:48,750","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1045.39,500,100,50,0,0,1402,0,1473,0,1430
"2017-05-03 00:28:43,292","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1139.79,500,100,50,0,0,1355,0,1463,0,1475
"2017-05-03 00:59:41,309","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1187.85,500,100,50,0,0,1357,0,1495,0,1392
"2017-05-03 01:30:03,216","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1149.45,500,100,50,0,0,1338,0,1443,0,1404
"2017-05-03 02:00:31,963","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1156.70,500,100,50,0,0,1340,0,1435,0,1436
"2017-05-03 02:31:00,566","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1151.59,500,100,50,0,0,1386,0,1456,0,1486
"2017-05-03 03:02:10,321","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1197.49,500,100,50,0,0,1360,0,1433,0,1455
"2017-05-03 03:28:36,028","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1034.29,500,100,50,0,0,1384,0,1447,0,1407
"2017-05-03 03:54:58,684","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1050.55,500,100,50,0,0,1397,0,1443,0,1383
"2017-05-03 04:21:18,993","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1052.33,500,100,50,0,0,1352,0,1483,0,1396
"2017-05-03 04:47:26,826","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1038.68,500,100,50,0,0,1382,0,1428,0,1440
"2017-05-03 05:13:34,910","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1039.75,500,100,50,0,0,1362,0,1446,0,1452
"2017-05-03 05:39:40,882","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1036.72,500,100,50,0,0,1340,0,1475,0,1433
"2017-05-03 06:05:39,862","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1031.49,500,100,50,0,0,1353,0,1465,0,1391
