"2017-05-01 19:46:52,599",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 19:49:53,942","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,40.26,500,100,50,0,0,1078,0,1643,0,1021
"2017-05-01 19:52:52,645","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,40.40,500,100,50,0,0,1021,0,1548,0,1005
"2017-05-01 19:55:51,154","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.22,500,100,50,0,0,1003,0,1566,0,1005
"2017-05-01 19:58:52,730","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.54,500,100,50,0,0,1055,0,1761,0,1007
"2017-05-01 20:01:53,231","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.88,500,100,50,0,0,1037,0,2350,0,1003
"2017-05-01 20:04:50,714","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,40.19,500,100,50,0,0,1070,0,1689,0,1071
"2017-05-01 20:07:51,273","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.03,500,100,50,0,0,1045,0,1612,0,1054
"2017-05-01 20:10:48,780","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,38.69,500,100,50,0,0,1046,0,2417,0,1093
"2017-05-01 20:13:49,353","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.12,500,100,50,0,0,1027,0,1295,0,2673
"2017-05-01 20:16:41,319","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.01,500,100,50,0,0,1045,0,1810,0,1002
"2017-05-01 20:19:43,917","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.56,500,100,50,0,0,1007,0,1792,0,1000
"2017-05-01 20:22:41,921","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,40.34,500,100,50,0,0,1025,0,1381,0,1026
"2017-05-01 20:25:46,965","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.98,500,100,50,0,0,1077,0,2440,0,1030
"2017-05-01 20:28:47,454","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,40.99,500,100,50,0,0,1020,0,1249,0,2321
"2017-05-01 20:31:49,921","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.65,500,100,50,0,0,1011,0,2108,0,1003
"2017-05-01 20:34:52,830","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,38.93,500,100,50,0,0,1012,0,1842,0,1000
"2017-05-01 20:37:53,571","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.51,500,100,50,0,0,1056,0,2014,0,1006
"2017-05-01 20:40:52,399","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.85,500,100,50,0,0,1031,0,2609,0,1111
"2017-05-01 20:43:51,602","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.71,500,100,50,0,0,1035,0,1531,0,1412
"2017-05-01 20:46:49,133","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,38.94,500,100,50,0,0,1033,0,1732,0,1001
"2017-05-01 20:49:49,528","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,38.97,500,100,50,0,0,1036,0,2443,0,1012
"2017-05-01 20:52:46,946","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.31,500,100,50,0,0,1030,0,1592,0,1044
"2017-05-01 20:55:50,798","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,42.30,500,100,50,0,0,1012,0,1513,0,1004
"2017-05-01 20:58:50,389","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.21,500,100,50,0,0,1016,0,1371,0,2276
"2017-05-01 21:01:54,961","16,16,16","20,20,20",90,7,7,7,True,LinearRegression,39.92,500,100,50,0,0,1035,0,1646,0,1020
