"2017-05-02 19:23:05,196",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 19:23:47,612","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.74,32,32,200,0,3,50,0,130,0,145
"2017-05-02 19:24:28,732","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.73,32,32,200,0,4,58,0,126,0,148
"2017-05-02 19:25:10,317","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.08,32,32,200,0,2,71,0,136,0,155
"2017-05-02 19:25:51,157","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.50,32,32,200,0,6,48,1,119,0,149
"2017-05-02 19:26:33,078","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.24,32,32,200,0,3,61,0,129,0,153
"2017-05-02 19:27:14,676","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.34,32,32,200,0,4,59,0,121,0,154
"2017-05-02 19:27:55,251","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.13,32,32,200,0,4,60,0,113,0,145
"2017-05-02 19:28:34,901","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,21.55,32,32,200,0,6,50,0,105,0,152
"2017-05-02 19:29:15,169","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.18,32,32,200,0,3,56,0,125,0,150
"2017-05-02 19:29:55,951","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.72,32,32,200,0,3,62,0,123,0,152
"2017-05-02 19:30:36,509","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.52,32,32,200,0,3,68,0,135,0,151
"2017-05-02 19:31:15,140","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,21.23,32,32,200,0,1,59,0,125,0,156
"2017-05-02 19:31:53,596","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,21.06,32,32,200,0,7,53,0,116,0,147
"2017-05-02 19:32:30,949","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,20.31,32,32,200,0,3,65,0,127,0,152
"2017-05-02 19:33:08,151","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,20.33,32,32,200,0,6,51,0,126,0,157
"2017-05-02 19:33:46,756","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,21.82,32,32,200,0,2,59,0,125,0,153
"2017-05-02 19:34:24,751","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,21.16,32,32,200,0,7,52,0,116,0,152
"2017-05-02 19:35:01,542","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,20.45,32,32,200,0,8,37,0,117,0,149
"2017-05-02 19:35:40,193","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,22.24,32,32,200,0,4,56,0,117,0,152
"2017-05-02 19:36:20,300","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.53,32,32,200,0,3,52,0,127,0,152
"2017-05-02 19:36:59,411","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,23.27,32,32,200,0,4,55,0,116,0,148
"2017-05-02 19:37:38,814","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,24.07,32,32,200,0,7,47,0,105,0,137
"2017-05-02 19:38:12,751","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,18.72,32,32,200,0,3,56,0,112,0,152
"2017-05-02 19:38:46,377","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,18.68,32,32,200,0,2,53,0,124,0,153
"2017-05-02 19:39:21,509","30,30,30","30,20,20",102,4,0,0,True,LinearRegression,19.99,32,32,200,0,6,51,0,117,0,151
