"2017-05-02 19:35:25,171",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:36:13,747","32","40",102,4,0,0,True,LinearRegression,38.22,32,32,200,1,32,0
"2017-05-02 19:37:00,618","32","40",102,4,0,0,True,LinearRegression,36.76,32,32,200,1,32,0
"2017-05-02 19:37:47,814","32","40",102,4,0,0,True,LinearRegression,36.95,32,32,200,1,32,0
"2017-05-02 19:38:47,068","32","40",102,4,0,0,True,LinearRegression,49.04,32,32,200,1,32,0
"2017-05-02 19:39:35,468","32","40",102,4,0,0,True,LinearRegression,38.47,32,32,200,1,32,0
"2017-05-02 19:40:22,565","32","40",102,4,0,0,True,LinearRegression,37.29,32,32,200,1,32,0
"2017-05-02 19:41:08,990","32","40",102,4,0,0,True,LinearRegression,36.65,32,32,200,1,32,0
"2017-05-02 19:41:56,412","32","40",102,4,0,0,True,LinearRegression,37.47,32,32,200,1,32,0
"2017-05-02 19:42:43,184","32","40",102,4,0,0,True,LinearRegression,36.91,32,32,200,1,32,0
"2017-05-02 19:43:29,916","32","40",102,4,0,0,True,LinearRegression,37.04,32,32,200,1,32,0
"2017-05-02 19:44:17,703","32","40",102,4,0,0,True,LinearRegression,37.73,32,32,200,1,32,0
"2017-05-02 19:45:05,262","32","40",102,4,0,0,True,LinearRegression,37.21,32,32,200,1,32,0
"2017-05-02 19:45:51,962","32","40",102,4,0,0,True,LinearRegression,36.82,32,32,200,1,32,0
"2017-05-02 19:46:38,905","32","40",102,4,0,0,True,LinearRegression,36.85,32,32,200,1,32,0
"2017-05-02 19:47:26,231","32","40",102,4,0,0,True,LinearRegression,37.38,32,32,200,1,32,0
"2017-05-02 19:48:14,423","32","40",102,4,0,0,True,LinearRegression,37.81,32,32,200,1,32,0
"2017-05-02 19:49:01,243","32","40",102,4,0,0,True,LinearRegression,36.99,32,32,200,1,32,0
"2017-05-02 19:49:48,120","32","40",102,4,0,0,True,LinearRegression,36.98,32,32,200,1,32,0
"2017-05-02 19:50:35,236","32","40",102,4,0,0,True,LinearRegression,37.01,32,32,200,1,32,0
"2017-05-02 19:51:22,640","32","40",102,4,0,0,True,LinearRegression,37.04,32,32,200,1,32,0
"2017-05-02 19:52:09,614","32","40",102,4,0,0,True,LinearRegression,36.48,32,32,200,1,32,0
"2017-05-02 19:52:55,633","32","40",102,4,0,0,True,LinearRegression,36.08,32,32,200,1,32,0
"2017-05-02 19:53:42,773","32","40",102,4,0,0,True,LinearRegression,36.91,32,32,200,1,32,0
"2017-05-02 19:54:29,260","32","40",102,4,0,0,True,LinearRegression,36.44,32,32,200,1,32,0
"2017-05-02 19:55:16,534","32","40",102,4,0,0,True,LinearRegression,37.15,32,32,200,1,32,0
