"2017-05-02 20:18:50,898",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-02 20:19:56,724","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.14,32,32,200,0,4,58,20,20,22,16,27,7,28,6
"2017-05-02 20:21:03,082","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.97,32,32,200,0,1,70,8,40,19,17,24,12,25,11
"2017-05-02 20:22:08,767","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.27,32,32,200,0,1,68,1,51,12,30,13,32,19,21
"2017-05-02 20:23:15,318","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.56,32,32,200,0,6,54,14,30,24,13,24,11,24,11
"2017-05-02 20:24:22,140","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.71,32,32,200,0,8,54,15,30,17,25,21,16,25,10
"2017-05-02 20:25:28,440","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.02,32,32,200,0,6,54,11,39,16,28,23,16,25,12
"2017-05-02 20:26:34,245","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.10,32,32,200,0,7,50,14,28,20,15,23,10,26,6
"2017-05-02 20:27:40,209","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.29,32,32,200,0,8,48,16,24,18,20,25,8,27,6
"2017-05-02 20:28:46,593","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.58,32,32,200,0,6,53,11,30,22,16,23,15,24,12
"2017-05-02 20:29:52,490","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.11,32,32,200,0,6,57,11,38,20,17,24,11,24,11
"2017-05-02 20:30:58,935","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.68,32,32,200,0,3,49,11,27,18,16,25,9,27,5
"2017-05-02 20:32:05,242","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.64,32,32,200,0,9,49,18,25,24,14,29,5,26,6
"2017-05-02 20:33:11,322","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.41,32,32,200,0,0,74,8,49,14,30,16,29,19,17
"2017-05-02 20:34:16,375","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,36.88,32,32,200,0,3,49,15,22,18,18,23,9,27,5
"2017-05-02 20:35:22,151","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.44,32,32,200,0,4,55,11,32,23,14,24,9,26,7
"2017-05-02 20:36:28,478","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.69,32,32,200,0,7,46,11,35,15,27,20,22,21,17
"2017-05-02 20:37:34,592","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.46,32,32,200,0,7,46,22,14,27,8,30,3,29,3
"2017-05-02 20:38:40,922","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.45,32,32,200,0,4,60,9,36,12,29,19,18,21,13
"2017-05-02 20:39:46,619","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.01,32,32,200,0,6,48,11,31,16,22,20,16,21,15
"2017-05-02 20:40:52,707","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.20,32,32,200,0,8,50,14,28,20,16,22,14,23,10
"2017-05-02 20:41:58,987","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.24,32,32,200,0,4,50,8,35,21,16,22,15,24,11
"2017-05-02 20:43:05,025","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.32,32,32,200,0,3,70,14,32,18,21,22,16,26,9
"2017-05-02 20:44:11,012","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,37.53,32,32,200,0,5,52,18,19,22,15,30,3,29,4
"2017-05-02 20:45:28,431","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,43.28,32,32,200,0,16,31,18,25,25,13,25,10,26,7
"2017-05-02 20:46:48,857","30,30,30,30,30","30,30,30,30,30",54,4,0,0,True,LinearRegression,45.01,32,32,200,0,10,47,15,29,17,20,29,4,29,4
