"2017-05-04 03:09:36,674",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 03:12:39,171","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,19.35,78,1480,745,1480,657,370,78
"2017-05-04 03:15:42,239","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,20.19,90,1480,789,1480,696,370,90
"2017-05-04 03:18:48,478","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,22.36,78,1480,769,1480,642,370,78
"2017-05-04 03:21:50,435","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,18.98,86,1480,722,1480,654,370,86
"2017-05-04 03:24:55,519","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,20.03,90,1480,719,1480,657,370,90
"2017-05-04 03:28:01,677","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,23.65,96,1480,721,1480,686,370,96
"2017-05-04 03:31:06,933","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,21.95,88,1480,747,1480,672,370,88
"2017-05-04 03:34:14,053","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,22.84,78,1480,796,1480,683,370,78
"2017-05-04 03:37:21,202","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,21.10,90,1480,744,1480,690,370,90
"2017-05-04 03:40:27,023","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,20.04,84,1480,770,1480,685,370,84
"2017-05-04 03:43:32,009","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,19.84,79,1480,760,1480,682,370,79
"2017-05-04 03:46:39,990","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,20.79,78,1480,746,1480,677,370,78
"2017-05-04 03:49:48,703","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,23.56,88,1480,761,1480,676,370,88
"2017-05-04 03:52:49,770","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,18.95,82,1480,756,1480,670,370,82
"2017-05-04 03:55:56,997","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,24.95,90,1480,733,1480,681,370,90
"2017-05-04 03:59:06,927","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,24.48,86,1480,745,1480,677,370,86
"2017-05-04 04:02:13,439","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,21.53,99,1480,782,1480,676,370,99
"2017-05-04 04:05:17,678","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,20.18,92,1480,764,1480,675,370,92
"2017-05-04 04:08:19,160","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,18.43,88,1480,743,1480,676,370,88
"2017-05-04 04:11:24,069","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,22.56,81,1480,754,1480,677,370,81
"2017-05-04 04:14:30,804","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,22.07,83,1480,762,1480,695,370,83
"2017-05-04 04:17:34,323","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,19.54,86,1480,766,1480,685,370,86
"2017-05-04 04:20:42,510","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,23.10,86,1480,787,1480,688,370,86
"2017-05-04 04:23:45,202","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,19.89,101,1480,775,1480,670,370,101
"2017-05-04 04:26:50,927","20,20,20","30,30,30",106,12,12,12,True,LinearRegression,4,21.07,85,1480,776,1480,674,370,85
