"2017-05-04 19:48:18,234",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 19:53:15,812","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.77,72,1480,627,1480,531,370,72
"2017-05-04 19:58:20,195","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.09,86,1480,663,1480,582,370,86
"2017-05-04 20:03:24,717","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.57,77,1480,662,1480,598,370,77
"2017-05-04 20:08:26,370","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,31.79,77,1480,641,1480,586,370,77
"2017-05-04 20:13:22,649","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,26.11,74,1480,648,1480,580,370,74
"2017-05-04 20:18:20,752","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.64,75,1480,663,1480,584,370,75
"2017-05-04 20:23:24,038","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,26.78,80,1480,649,1480,582,370,80
"2017-05-04 20:28:28,719","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.31,76,1480,651,1480,598,370,76
"2017-05-04 20:33:30,533","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,30.34,91,1480,678,1480,589,370,91
"2017-05-04 20:38:34,624","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,31.67,104,1480,678,1480,579,370,104
"2017-05-04 20:43:35,453","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.74,76,1480,648,1480,591,370,76
"2017-05-04 20:48:33,106","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.16,84,1480,678,1480,609,370,84
"2017-05-04 20:53:39,271","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.61,82,1480,659,1480,594,370,82
"2017-05-04 20:58:39,321","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,30.91,73,1480,658,1480,582,370,73
"2017-05-04 21:03:43,174","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.13,90,1480,670,1480,582,370,90
"2017-05-04 21:08:43,256","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.17,81,1480,666,1480,584,370,81
"2017-05-04 21:13:37,675","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.37,91,1480,659,1480,585,370,91
"2017-05-04 21:18:40,967","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,31.00,86,1480,646,1480,576,370,86
"2017-05-04 21:23:46,219","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,35.17,72,1480,662,1480,568,370,72
"2017-05-04 21:28:36,697","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,25.63,81,1480,639,1480,592,370,81
"2017-05-04 21:33:30,813","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.17,91,1480,668,1480,590,370,91
"2017-05-04 21:38:27,822","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.90,79,1480,666,1480,599,370,79
"2017-05-04 21:43:54,414","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,34.13,82,1480,655,1480,596,370,82
"2017-05-04 21:49:29,442","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.29,92,1480,679,1480,556,370,92
"2017-05-04 21:55:06,968","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.60,76,1480,669,1480,600,370,76
