"2017-05-04 12:01:51,774",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 12:05:25,200","20,20","50,50",106,12,12,12,True,LinearRegression,4,13.70,84,1480,661,370,84
"2017-05-04 12:09:01,829","20,20","50,50",106,12,12,12,True,LinearRegression,4,17.33,82,1480,651,370,82
"2017-05-04 12:12:36,336","20,20","50,50",106,12,12,12,True,LinearRegression,4,15.76,74,1480,645,370,74
"2017-05-04 12:16:11,708","20,20","50,50",106,12,12,12,True,LinearRegression,4,17.96,76,1480,645,370,76
"2017-05-04 12:19:51,704","20,20","50,50",106,12,12,12,True,LinearRegression,4,20.34,74,1480,686,370,74
"2017-05-04 12:23:32,897","20,20","50,50",106,12,12,12,True,LinearRegression,4,19.79,76,1480,638,370,76
"2017-05-04 12:27:14,647","20,20","50,50",106,12,12,12,True,LinearRegression,4,16.56,79,1480,670,370,79
"2017-05-04 12:30:51,905","20,20","50,50",106,12,12,12,True,LinearRegression,4,16.69,74,1480,629,370,74
"2017-05-04 12:34:30,882","20,20","50,50",106,12,12,12,True,LinearRegression,4,18.06,83,1480,673,370,83
"2017-05-04 12:38:05,339","20,20","50,50",106,12,12,12,True,LinearRegression,4,15.39,79,1480,655,370,79
"2017-05-04 12:41:37,048","20,20","50,50",106,12,12,12,True,LinearRegression,4,13.97,78,1480,672,370,78
"2017-05-04 12:45:10,372","20,20","50,50",106,12,12,12,True,LinearRegression,4,14.54,72,1480,652,370,72
"2017-05-04 12:48:49,550","20,20","50,50",106,12,12,12,True,LinearRegression,4,16.99,74,1480,668,370,74
"2017-05-04 12:52:24,825","20,20","50,50",106,12,12,12,True,LinearRegression,4,15.03,71,1480,637,370,71
"2017-05-04 12:56:00,274","20,20","50,50",106,12,12,12,True,LinearRegression,4,14.31,82,1480,645,370,82
"2017-05-04 12:59:34,840","20,20","50,50",106,12,12,12,True,LinearRegression,4,14.62,78,1480,656,370,78
"2017-05-04 13:03:11,208","20,20","50,50",106,12,12,12,True,LinearRegression,4,15.63,74,1480,681,370,74
"2017-05-04 13:06:44,444","20,20","50,50",106,12,12,12,True,LinearRegression,4,15.00,77,1480,648,370,77
"2017-05-04 13:10:25,599","20,20","50,50",106,12,12,12,True,LinearRegression,4,19.45,78,1480,640,370,78
"2017-05-04 13:14:06,045","20,20","50,50",106,12,12,12,True,LinearRegression,4,16.84,72,1480,680,370,72
"2017-05-04 13:17:47,957","20,20","50,50",106,12,12,12,True,LinearRegression,4,21.58,74,1480,668,370,74
"2017-05-04 13:21:25,010","20,20","50,50",106,12,12,12,True,LinearRegression,4,18.05,78,1480,624,370,78
"2017-05-04 13:25:06,550","20,20","50,50",106,12,12,12,True,LinearRegression,4,20.02,76,1480,672,370,76
"2017-05-04 13:28:43,683","20,20","50,50",106,12,12,12,True,LinearRegression,4,18.08,78,1480,668,370,78
"2017-05-04 13:32:25,158","20,20","50,50",106,12,12,12,True,LinearRegression,4,18.59,78,1480,669,370,78
