"2017-04-27 23:44:37,542",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-27 23:46:54,974","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.74,110,1480,1007,1480,938,370,110
"2017-04-27 23:49:13,437","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,15.66,118,1480,990,1480,920,370,118
"2017-04-27 23:51:32,306","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.89,120,1480,1022,1480,914,370,120
"2017-04-27 23:53:26,433","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,10.39,103,1480,1010,1480,913,370,103
"2017-04-27 23:55:19,472","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.09,109,1480,1026,1480,939,370,109
"2017-04-27 23:57:11,328","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.10,123,1480,993,1480,915,370,123
"2017-04-27 23:59:02,946","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.86,122,1480,1030,1480,932,370,122
"2017-04-28 00:00:54,168","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.75,118,1480,1028,1480,941,370,118
"2017-04-28 00:02:46,837","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.78,115,1480,1028,1480,906,370,115
"2017-04-28 00:04:38,866","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.00,126,1480,996,1480,918,370,126
"2017-04-28 00:06:30,380","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.87,117,1480,985,1480,918,370,117
"2017-04-28 00:08:21,856","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.23,114,1480,976,1480,925,370,114
"2017-04-28 00:10:13,313","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.12,116,1480,1019,1480,926,370,116
"2017-04-28 00:12:04,071","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.01,117,1480,1003,1480,935,370,117
"2017-04-28 00:13:55,206","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.04,126,1480,986,1480,921,370,126
"2017-04-28 00:15:46,052","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.78,117,1480,1016,1480,935,370,117
"2017-04-28 00:17:36,558","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.85,124,1480,1017,1480,924,370,124
"2017-04-28 00:19:26,992","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.79,120,1480,1017,1480,933,370,120
"2017-04-28 00:21:17,936","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.62,125,1480,984,1480,936,370,125
"2017-04-28 00:23:08,640","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.96,115,1480,1023,1480,920,370,115
"2017-04-28 00:24:59,470","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.86,131,1480,1017,1480,944,370,131
"2017-04-28 00:26:50,542","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.21,109,1480,997,1480,933,370,109
"2017-04-28 00:28:41,583","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.27,118,1480,1033,1480,920,370,118
"2017-04-28 00:30:32,975","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.80,128,1480,994,1480,907,370,128
"2017-04-28 00:32:23,501","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.86,124,1480,990,1480,938,370,124
"2017-04-27 23:44:47,145","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,11.15,123,1480,1008,1480,926,370,123
"2017-04-27 23:46:48,701","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,11.88,110,1480,1008,1480,912,370,110
"2017-04-27 23:48:50,583","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.29,120,1480,1029,1480,910,370,120
