"2017-05-03 23:20:27,036",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-03 23:23:29,712","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.20,83,1480,710,1480,654,370,83
"2017-05-03 23:26:33,275","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.03,81,1480,706,1480,617,370,81
"2017-05-03 23:29:34,457","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.24,93,1480,713,1480,650,370,93
"2017-05-03 23:32:38,957","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.06,97,1480,686,1480,609,370,97
"2017-05-03 23:35:39,017","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.85,103,1480,693,1480,651,370,103
"2017-05-03 23:38:41,275","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.57,97,1480,680,1480,631,370,97
"2017-05-03 23:41:43,667","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.38,90,1480,671,1480,629,370,90
"2017-05-03 23:44:43,906","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,18.76,101,1480,679,1480,637,370,101
"2017-05-03 23:47:49,576","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.51,102,1480,692,1480,629,370,102
"2017-05-03 23:50:52,931","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.42,82,1480,670,1480,628,370,82
"2017-05-03 23:53:53,217","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.50,95,1480,680,1480,628,370,95
"2017-05-03 23:56:57,302","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.57,103,1480,677,1480,610,370,103
"2017-05-04 00:00:00,062","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.27,94,1480,695,1480,635,370,94
"2017-05-04 00:03:00,001","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.36,102,1480,703,1480,644,370,102
"2017-05-04 00:06:02,984","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.23,105,1480,705,1480,664,370,105
"2017-05-04 00:09:05,107","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.27,97,1480,689,1480,653,370,97
"2017-05-04 00:12:09,550","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.39,92,1480,698,1480,644,370,92
"2017-05-04 00:15:16,326","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.18,109,1480,705,1480,621,370,109
"2017-05-04 00:18:21,270","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.19,94,1480,679,1480,623,370,94
"2017-05-04 00:21:24,635","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.19,95,1480,683,1480,648,370,95
"2017-05-04 00:24:27,640","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.53,97,1480,675,1480,642,370,97
"2017-05-04 00:27:29,806","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.25,95,1480,680,1480,612,370,95
"2017-05-04 00:30:33,203","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.24,96,1480,660,1480,627,370,96
"2017-05-04 00:33:37,465","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.37,98,1480,696,1480,644,370,98
"2017-05-04 00:36:42,276","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.48,93,1480,708,1480,639,370,93
