"2017-05-03 23:20:27,032",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-03 23:23:33,532","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,24.96,104,1480,703,1480,663,370,104
"2017-05-03 23:26:38,023","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.38,99,1480,683,1480,641,370,99
"2017-05-03 23:29:44,096","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,24.26,84,1480,708,1480,596,370,84
"2017-05-03 23:32:48,555","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.57,96,1480,694,1480,636,370,96
"2017-05-03 23:35:54,438","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,23.02,104,1480,678,1480,638,370,104
"2017-05-03 23:38:59,304","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.62,97,1480,680,1480,663,370,97
"2017-05-03 23:42:04,370","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.32,100,1480,661,1480,625,370,100
"2017-05-03 23:45:11,349","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.95,93,1480,712,1480,614,370,93
"2017-05-03 23:48:17,716","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.38,99,1480,690,1480,614,370,99
"2017-05-03 23:51:23,791","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.96,99,1480,722,1480,667,370,99
"2017-05-03 23:54:29,360","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,23.51,93,1480,679,1480,643,370,93
"2017-05-03 23:57:31,783","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.84,96,1480,707,1480,655,370,96
"2017-05-04 00:00:35,762","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.86,93,1480,693,1480,651,370,93
"2017-05-04 00:03:42,607","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.05,107,1480,659,1480,625,370,107
"2017-05-04 00:06:49,641","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.27,110,1480,695,1480,654,370,110
"2017-05-04 00:09:52,361","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.11,81,1480,710,1480,607,370,81
"2017-05-04 00:12:51,639","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.05,93,1480,693,1480,635,370,93
"2017-05-04 00:15:55,266","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.71,88,1480,667,1480,623,370,88
"2017-05-04 00:18:59,091","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.33,100,1480,690,1480,639,370,100
"2017-05-04 00:22:04,877","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.97,96,1480,692,1480,642,370,96
"2017-05-04 00:25:12,284","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,23.31,105,1480,700,1480,632,370,105
"2017-05-04 00:28:19,591","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,24.00,91,1480,703,1480,630,370,91
"2017-05-04 00:31:27,483","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.48,100,1480,713,1480,655,370,100
"2017-05-04 00:34:32,429","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.23,98,1480,721,1480,639,370,98
"2017-05-04 00:37:37,001","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.69,85,1480,711,1480,628,370,85
