"2017-05-04 05:53:22,071",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 05:55:34,809","20","50",60,12,12,12,True,LinearRegression,4,8.55,42,370,42
"2017-05-04 05:57:54,755","20","50",60,12,12,12,True,LinearRegression,4,13.57,56,370,56
"2017-05-04 06:00:18,932","20","50",60,12,12,12,True,LinearRegression,4,15.46,53,370,53
"2017-05-04 06:02:40,638","20","50",60,12,12,12,True,LinearRegression,4,15.00,56,370,56
"2017-05-04 06:04:52,856","20","50",60,12,12,12,True,LinearRegression,4,8.90,56,370,56
"2017-05-04 06:07:17,011","20","50",60,12,12,12,True,LinearRegression,4,16.61,54,370,54
"2017-05-04 06:09:32,134","20","50",60,12,12,12,True,LinearRegression,4,8.59,59,370,59
"2017-05-04 06:11:46,643","20","50",60,12,12,12,True,LinearRegression,4,8.36,56,370,56
"2017-05-04 06:14:06,963","20","50",60,12,12,12,True,LinearRegression,4,13.25,56,370,56
"2017-05-04 06:16:29,435","20","50",60,12,12,12,True,LinearRegression,4,15.42,55,370,55
"2017-05-04 06:18:52,372","20","50",60,12,12,12,True,LinearRegression,4,15.29,49,370,49
"2017-05-04 06:21:04,175","20","50",60,12,12,12,True,LinearRegression,4,8.20,54,370,54
"2017-05-04 06:23:27,800","20","50",60,12,12,12,True,LinearRegression,4,15.86,57,370,57
"2017-05-04 06:25:44,177","20","50",60,12,12,12,True,LinearRegression,4,8.82,53,370,53
"2017-05-04 06:27:58,168","20","50",60,12,12,12,True,LinearRegression,4,8.43,57,370,57
"2017-05-04 06:30:18,802","20","50",60,12,12,12,True,LinearRegression,4,11.99,57,370,57
"2017-05-04 06:32:42,243","20","50",60,12,12,12,True,LinearRegression,4,15.27,59,370,59
"2017-05-04 06:35:07,703","20","50",60,12,12,12,True,LinearRegression,4,16.13,54,370,54
"2017-05-04 06:37:18,180","20","50",60,12,12,12,True,LinearRegression,4,7.87,50,370,50
"2017-05-04 06:39:41,129","20","50",60,12,12,12,True,LinearRegression,4,15.78,66,370,66
"2017-05-04 06:41:56,497","20","50",60,12,12,12,True,LinearRegression,4,8.61,50,370,50
"2017-05-04 06:44:13,340","20","50",60,12,12,12,True,LinearRegression,4,10.45,50,370,50
"2017-05-04 06:46:32,254","20","50",60,12,12,12,True,LinearRegression,4,9.57,55,370,55
"2017-05-04 06:48:55,126","20","50",60,12,12,12,True,LinearRegression,4,15.35,50,370,50
"2017-05-04 06:51:12,461","20","50",60,12,12,12,True,LinearRegression,4,11.02,45,370,45
